timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,10.580819,139,,,
278,10.144165,139,,,
417,20.516056,139,,,
556,5.806563,139,,,
695,21.732487,139,,,
834,8.618774,139,,,
973,7.828752,139,,,
1112,14.463042,139,,,
1251,23.312548,139,,,
1390,13.976143,139,,,
1529,19.621262,139,,,
1668,11.046962,139,,,
1807,19.670105,139,,,
1946,14.215193,139,,,
2085,16.347981,139,,,
2224,21.630143,139,,,
2363,12.108656,139,,,
2502,17.582668,139,,,
2641,18.652958,139,,,
2780,8.339175,139,,,
2919,8.871039,139,,,
3058,26.005557,139,,,
3197,9.330814,139,,,
3336,10.920011,139,,,
3475,17.004077,139,,,
3614,22.051285,139,,,
3753,13.048786,139,,,
3892,3.325876,139,,,
4031,13.806037,139,-0.0038847923278808594,3.495412731170654,12.972335302829743
