timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,21.547469,139,,,
278,18.685729,139,,,
417,20.721014,139,,,
556,10.042919,139,,,
695,8.775206,139,,,
834,28.660661,139,,,
973,23.438035,139,,,
1112,14.366912,139,,,
1251,17.301787,139,,,
1390,16.000291,139,,,
1529,15.676475,139,,,
1668,10.975703,139,,,
1807,13.600725,139,,,
1946,22.245335,139,,,
2085,20.25469,139,,,
2224,21.553404,139,,,
2363,12.969233,139,,,
2502,12.716798,139,,,
2641,9.244459,139,,,
2780,2.715121,139,,,
2919,10.652316,139,,,
3058,13.53523,139,,,
3197,21.814733,139,,,
3336,17.350431,139,,,
3475,13.827555,139,,,
3614,15.119961,139,,,
3753,11.623075,139,,,
3892,24.011891,139,,,
4031,12.123137,139,-0.0017774105072021484,3.4824436366558076,12.883526599407196
4170,8.284738,139,,,
4309,18.492793,139,,,
4448,9.455629,139,,,
4587,12.685011,139,,,
4726,8.47878,139,,,
4865,16.889903,139,,,
5004,25.888653,139,,,
5143,15.693232,139,,,
5282,19.322779,139,,,
5421,7.132504,139,,,
5560,15.978388,139,,,
5699,14.257324,139,,,
5838,8.739146,139,,,
5977,18.77369,139,,,
6116,17.702794,139,0.05317181348800659,3.4828073412179945,12.268044638633729
6255,20.192293,139,,,
6394,11.094121,139,,,
6533,9.494225,139,,,
6672,6.690918,139,,,
6811,3.557717,139,,,
6950,10.375751,139,,,
7089,14.253357,139,,,
7228,6.922942,139,,,
7367,9.400592,139,,,
7506,13.028576,139,,,
7645,14.995752,139,,,
7784,9.422484,139,,,
7923,15.891674,139,,,
8062,21.330257,139,0.2519086003303528,3.484549728035927,10.030170410871506
8201,8.101688,139,,,
8340,19.984936,139,,,
8479,13.944177,139,,,
8618,17.013304,139,,,
8757,15.468074,139,,,
8896,14.794479,139,,,
9035,10.837529,139,,,
9174,10.760492,139,,,
9313,9.455663,139,,,
9452,12.850311,139,,,
9591,18.996063,139,,,
9730,26.261721,139,,,
9869,17.995847,139,,,
10008,21.01703,139,,,
10147,17.990835,139,0.5714011192321777,3.4847526073455812,7.350318419933319
10286,16.292775,139,,,
10425,20.044481,139,,,
10564,11.801753,139,,,
10703,12.469349,139,,,
10842,21.565797,139,,,
10981,16.755208,139,,,
11120,14.932266,139,,,
11259,13.790036,139,,,
11398,18.666911,139,,,
11537,16.605476,139,,,
11676,3.29977,139,,,
11815,21.522112,139,,,
11954,9.974409,139,,,
12093,18.470293,139,,,
12232,20.907604,139,0.7373143434524536,3.4950678557157517,5.684815514087677
12371,16.605959,139,,,
12510,17.190106,139,,,
12649,18.50096,139,,,
12788,17.303993,139,,,
12927,15.485115,139,,,
13066,11.629902,139,,,
13205,16.565714,139,,,
13344,10.397789,139,,,
13483,17.079996,139,,,
13622,14.12425,139,,,
13761,13.417388,139,,,
13900,15.195232,139,,,
14039,12.286187,139,,,
14178,18.807535,139,,,
14317,17.188246,139,0.802009105682373,3.5015497714281083,4.810133558511734
14456,20.880336,139,,,
14595,11.45338,139,,,
14734,16.709295,139,,,
14873,17.561918,139,,,
15012,23.90242,139,,,
15151,24.42801,139,,,
15290,10.082258,139,,,
15429,7.162192,139,,,
15568,15.970611,139,,,
15707,21.683304,139,,,
15846,14.585704,139,,,
15985,28.717113,139,,,
16124,11.466917,139,,,
16263,11.824457,139,0.8307427167892456,3.503992128372192,4.566624644398689
16402,16.720452,139,,,
16541,21.040376,139,,,
16680,21.279486,139,,,
16819,23.993935,139,,,
16958,13.21295,139,,,
17097,11.695964,139,,,
17236,23.402543,139,,,
17375,12.499113,139,,,
17514,14.513806,139,,,
17653,8.554277,139,,,
17792,28.336811,139,,,
17931,17.524277,139,,,
18070,10.098979,139,,,
18209,11.80257,139,,,
18348,20.002292,139,0.8396174907684326,3.502906087040901,4.677876219153404
18487,11.111291,139,,,
18626,19.139118,139,,,
18765,12.556971,139,,,
18904,7.471088,139,,,
19043,16.870414,139,,,
19182,10.031865,139,,,
19321,21.797489,139,,,
19460,22.531583,139,,,
19599,16.092774,139,,,
19738,20.145234,139,,,
19877,14.165469,139,,,
20016,9.029581,139,,,
20155,18.130398,139,,,
20294,26.521455,139,,,
20433,14.43505,139,0.8604192137718201,3.506495526432991,4.042909875512123
20572,14.703909,139,,,
20711,20.475835,139,,,
20850,21.166886,139,,,
20989,19.440702,139,,,
21128,16.897431,139,,,
21267,10.639027,139,,,
21406,23.726666,139,,,
21545,10.676329,139,,,
21684,9.553038,139,,,
21823,12.319151,139,,,
21962,9.212661,139,,,
22101,20.161729,139,,,
22240,10.138002,139,,,
22379,33.608532,139,,,
22518,23.99264,139,0.8577274084091187,3.5132813930511473,3.521865126490593
22657,15.664585,139,,,
22796,17.250047,139,,,
22935,18.988234,139,,,
23074,19.992526,139,,,
23213,18.120259,139,,,
23352,21.103469,139,,,
23491,16.734617,139,,,
23630,12.578296,139,,,
23769,9.598852,139,,,
23908,24.047566,139,,,
24047,20.462581,139,,,
24186,19.276918,139,,,
24325,23.176654,139,,,
24464,10.369946,139,0.8535104393959045,3.520778998732567,4.216156789660454
24603,19.799214,139,,,
24742,19.212695,139,,,
24881,22.364829,139,,,
25020,17.28873,139,,,
25159,10.720195,139,,,
25298,20.102783,139,,,
25437,23.404199,139,,,
25576,24.477527,139,,,
25715,22.608796,139,,,
25854,13.304759,139,,,
25993,19.213985,139,,,
26132,11.353559,139,,,
26271,9.097183,139,,,
26410,17.092174,139,,,
26549,22.509911,139,0.8867430686950684,3.5291589885950088,3.352362659573555
26688,17.474531,139,,,
26827,19.651456,139,,,
26966,21.502004,139,,,
27105,18.213346,139,,,
27244,14.41988,139,,,
27383,19.581755,139,,,
27522,22.575735,139,,,
27661,23.194846,139,,,
27800,21.30436,139,,,
27939,9.241065,139,,,
28078,23.677049,139,,,
28217,10.455463,139,,,
28356,8.932986,139,,,
28495,9.723241,139,,,
28634,20.565715,139,0.8826837539672852,3.536656975746155,3.6490647464990618
28773,23.743036,139,,,
28912,10.868714,139,,,
29051,10.766912,139,,,
29190,12.46856,139,,,
29329,18.137799,139,,,
29468,14.399553,139,,,
29607,4.339472,139,,,
29746,23.141228,139,,,
29885,15.470855,139,,,
30024,13.535887,139,,,
30163,11.590127,139,,,
30302,24.348437,139,,,
30441,18.674727,139,,,
30580,13.574087,139,,,
30719,12.393295,139,0.9047966003417969,3.5389071732759474,3.387580993771553
30858,9.419859,139,,,
30997,16.298574,139,,,
31136,16.217392,139,,,
31275,21.560749,139,,,
31414,20.989002,139,,,
31553,21.374422,139,,,
31692,26.973691,139,,,
31831,17.615763,139,,,
31970,16.879477,139,,,
32109,13.211687,139,,,
32248,16.963271,139,,,
32387,17.489764,139,,,
32526,16.645398,139,,,
32665,20.760751,139,0.9013424515724182,3.54069285094738,3.3958829164505007
32804,15.205702,139,,,
32943,19.14889,139,,,
33082,16.338412,139,,,
33221,18.665288,139,,,
33360,9.095733,139,,,
33499,16.982095,139,,,
33638,15.940657,139,,,
33777,6.918754,139,,,
33916,14.505746,139,,,
34055,11.025606,139,,,
34194,21.253449,139,,,
34333,22.492636,139,,,
34472,13.044924,139,,,
34611,11.620021,139,,,
34750,19.581545,139,0.9151672124862671,3.5374897927045823,2.95212265253067
34889,11.391291,139,,,
35028,19.681246,139,,,
35167,11.644366,139,,,
35306,9.327412,139,,,
35445,14.23857,139,,,
35584,15.532467,139,,,
35723,16.777106,139,,,
35862,11.083585,139,,,
