timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-7.911287,139,,,
278,-5.527243,139,,,
417,3.858412,139,,,
556,-15.53235,139,,,
695,0.457771,139,,,
834,2.484341,139,,,
973,8.924179,139,,,
1112,-4.950101,139,,,
1251,-6.888224,139,,,
1390,-6.904,139,,,
1529,-0.282346,139,,,
1668,-2.915312,139,,,
1807,-8.440491,139,,,
1946,-5.521758,139,,,
2085,-3.599125,139,,,
2224,-8.470593,139,,,
2363,4.998713,139,,,
2502,3.479872,139,,,
2641,-9.507729,139,,,
2780,-7.992484,139,,,
2919,-2.136901,139,,,
3058,-1.322343,139,,,
3197,-1.682855,139,,,
3336,-2.152518,139,,,
3475,-2.606487,139,,,
3614,-12.439181,139,,,
3753,-2.166385,139,,,
3892,10.532287,139,,,
4031,-8.123965,139,0.00116807222366333,3.4741091042757035,10.71165565252304
