timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,8.253727,139,,,
278,14.643399,139,,,
417,21.817386,139,,,
556,6.172691,139,,,
695,18.263415,139,,,
834,19.991403,139,,,
973,28.42964,139,,,
1112,12.282518,139,,,
1251,11.053568,139,,,
1390,11.83757,139,,,
1529,18.039771,139,,,
1668,14.882631,139,,,
1807,11.651299,139,,,
1946,15.808606,139,,,
2085,14.28154,139,,,
2224,9.588379,139,,,
2363,22.527637,139,,,
2502,18.740333,139,,,
2641,8.81703,139,,,
2780,11.279166,139,,,
2919,18.230006,139,,,
3058,16.154677,139,,,
3197,17.000676,139,,,
3336,16.195028,139,,,
3475,13.066898,139,,,
3614,7.888345,139,,,
3753,14.2646,139,,,
3892,29.643922,139,,,
4031,9.182208,139,0.0022735595703125,3.470546218752861,11.956235671043396
4170,10.584142,139,,,
4309,10.887525,139,,,
4448,13.58189,139,,,
4587,13.503857,139,,,
4726,22.567479,139,,,
4865,10.606052,139,,,
5004,18.384972,139,,,
5143,16.730235,139,,,
5282,10.779987,139,,,
5421,14.735799,139,,,
5560,20.283729,139,,,
5699,6.818405,139,,,
5838,12.210455,139,,,
5977,15.244379,139,,,
6116,19.280742,139,0.1940767765045166,3.463588809967041,10.332671982049941
6255,16.431928,139,,,
6394,22.96812,139,,,
6533,21.123889,139,,,
6672,22.984284,139,,,
6811,17.768903,139,,,
6950,16.572351,139,,,
7089,13.689076,139,,,
7228,20.246545,139,,,
7367,14.769207,139,,,
7506,18.555993,139,,,
7645,3.626326,139,,,
7784,18.405438,139,,,
7923,14.737867,139,,,
8062,19.134367,139,0.5220339298248291,3.4734261721372603,7.835335505008698
8201,21.136296,139,,,
8340,10.8886,139,,,
8479,16.736771,139,,,
8618,17.261067,139,,,
8757,18.294422,139,,,
8896,16.794772,139,,,
9035,17.015359,139,,,
9174,13.608733,139,,,
9313,12.35268,139,,,
9452,10.167848,139,,,
9591,26.363324,139,,,
9730,10.517956,139,,,
9869,17.750399,139,,,
10008,17.840182,139,,,
10147,16.257195,139,0.7034584283828735,3.4743518769741057,6.699315601587296
10286,16.022168,139,,,
10425,16.674811,139,,,
10564,14.787703,139,,,
10703,9.432513,139,,,
10842,15.151857,139,,,
10981,19.667654,139,,,
11120,13.436481,139,,,
11259,6.723344,139,,,
11398,10.56035,139,,,
11537,19.405015,139,,,
11676,16.398678,139,,,
11815,5.613473,139,,,
11954,17.47175,139,,,
12093,14.364083,139,,,
12232,15.634063,139,0.7786781787872314,3.474105215072632,5.610091990232467
12371,21.791326,139,,,
12510,23.703582,139,,,
12649,16.087775,139,,,
12788,16.38255,139,,,
12927,8.853429,139,,,
13066,17.051214,139,,,
13205,15.784356,139,,,
13344,20.59799,139,,,
13483,9.784941,139,,,
13622,10.02817,139,,,
13761,15.656427,139,,,
13900,21.077839,139,,,
14039,13.389791,139,,,
14178,17.849335,139,,,
14317,12.133121,139,0.8035746812820435,3.473916855454445,4.966600352525711
14456,18.364168,139,,,
14595,14.461,139,,,
14734,20.84898,139,,,
14873,17.806179,139,,,
15012,20.485167,139,,,
15151,11.49886,139,,,
15290,21.753132,139,,,
15429,17.435945,139,,,
15568,16.465445,139,,,
15707,18.609824,139,,,
15846,4.806044,139,,,
15985,15.266477,139,,,
16124,12.11346,139,,,
16263,14.056266,139,0.8134362697601318,3.471382611989975,4.163459432125092
16402,11.586505,139,,,
16541,16.42137,139,,,
16680,18.600182,139,,,
16819,21.484313,139,,,
16958,15.263201,139,,,
17097,7.619459,139,,,
17236,17.675375,139,,,
17375,8.232725,139,,,
17514,13.689435,139,,,
17653,9.844248,139,,,
17792,23.487539,139,,,
17931,18.626571,139,,,
18070,13.957923,139,,,
18209,17.185078,139,,,
18348,22.190198,139,0.8299194574356079,3.4626600444316864,4.428794273734093
18487,15.115942,139,,,
18626,13.765516,139,,,
18765,11.315831,139,,,
18904,13.296654,139,,,
19043,16.992057,139,,,
19182,21.492613,139,,,
19321,33.650721,139,,,
19460,13.30985,139,,,
19599,12.970315,139,,,
19738,13.26964,139,,,
19877,22.105291,139,,,
20016,10.870048,139,,,
20155,8.813031,139,,,
20294,24.793451,139,,,
20433,11.903839,139,0.853178858757019,3.468312293291092,3.742286393046379
20572,17.87912,139,,,
20711,5.207805,139,,,
20850,10.793826,139,,,
20989,19.287515,139,,,
21128,17.078519,139,,,
21267,5.771295,139,,,
21406,15.920958,139,,,
21545,9.658384,139,,,
21684,10.171645,139,,,
21823,7.979411,139,,,
21962,16.035265,139,,,
22101,8.666807,139,,,
22240,9.822539,139,,,
22379,18.608331,139,,,
22518,11.152236,139,0.8745494484901428,3.47990100979805,3.803226336836815
22657,19.753596,139,,,
22796,13.225825,139,,,
22935,8.112704,139,,,
23074,12.590775,139,,,
23213,10.038528,139,,,
23352,17.103279,139,,,
23491,21.38206,139,,,
23630,17.991754,139,,,
23769,9.998019,139,,,
23908,9.43379,139,,,
24047,19.750148,139,,,
24186,23.18561,139,,,
24325,20.655863,139,,,
24464,14.693033,139,0.8806924223899841,3.4860554933547974,3.0716380208730696
24603,7.640658,139,,,
24742,14.831955,139,,,
24881,17.347608,139,,,
25020,14.449081,139,,,
25159,19.958869,139,,,
25298,3.374521,139,,,
25437,7.889308,139,,,
25576,18.08631,139,,,
25715,12.402228,139,,,
25854,6.883739,139,,,
25993,15.229107,139,,,
26132,18.974922,139,,,
26271,14.520084,139,,,
26410,17.718038,139,,,
26549,14.453923,139,0.8804992437362671,3.4876606494188307,3.2151382356882094
26688,16.023634,139,,,
26827,22.240506,139,,,
26966,14.792673,139,,,
27105,18.474823,139,,,
27244,14.937343,139,,,
27383,25.647605,139,,,
27522,21.490843,139,,,
27661,21.828145,139,,,
27800,21.605859,139,,,
27939,19.168677,139,,,
28078,10.859794,139,,,
28217,16.680244,139,,,
28356,18.390789,139,,,
28495,15.795484,139,,,
28634,16.809001,139,0.888279378414154,3.484344106912613,3.222642120718956
28773,15.550091,139,,,
28912,23.106256,139,,,
29051,21.487046,139,,,
29190,12.429859,139,,,
29329,13.324412,139,,,
29468,14.298517,139,,,
29607,18.620612,139,,,
29746,18.654454,139,,,
29885,21.671949,139,,,
30024,19.572879,139,,,
30163,12.39534,139,,,
30302,12.719075,139,,,
30441,13.497065,139,,,
30580,23.956249,139,,,
30719,19.439828,139,0.8975918889045715,3.4911573618650436,2.8822775065898893
30858,17.722105,139,,,
30997,14.301264,139,,,
31136,12.790487,139,,,
31275,22.723053,139,,,
31414,16.528656,139,,,
31553,17.255928,139,,,
31692,9.611383,139,,,
31831,16.857431,139,,,
31970,15.627096,139,,,
32109,22.443676,139,,,
32248,27.020771,139,,,
32387,6.614188,139,,,
32526,17.833188,139,,,
32665,20.300522,139,0.8999569416046143,3.5000123411417006,2.8907204240560533
32804,8.240288,139,,,
32943,14.123998,139,,,
33082,14.231238,139,,,
33221,30.437024,139,,,
33360,19.343095,139,,,
33499,18.396021,139,,,
33638,11.915228,139,,,
33777,19.492513,139,,,
33916,14.28396,139,,,
34055,18.937735,139,,,
34194,26.145537,139,,,
34333,24.044255,139,,,
34472,20.133836,139,,,
34611,15.970221,139,,,
34750,19.598785,139,0.8963427543640137,3.5013981401920318,3.0320361882448195
34889,15.652524,139,,,
35028,22.089053,139,,,
35167,13.941187,139,,,
35306,16.050438,139,,,
35445,16.21523,139,,,
35584,12.867115,139,,,
35723,15.716209,139,,,
35862,18.886903,139,,,
36001,16.475378,139,,,
36140,19.75265,139,,,
36279,12.705317,139,,,
36418,12.773518,139,,,
36557,19.516264,139,,,
36696,22.863023,139,,,
36835,21.74436,139,0.9125537276268005,3.5054882526397706,2.6414605349302294
36974,19.823249,139,,,
37113,17.286213,139,,,
37252,22.540784,139,,,
37391,23.660139,139,,,
37530,20.356747,139,,,
37669,23.900263,139,,,
37808,10.12435,139,,,
37947,8.378823,139,,,
38086,29.810945,139,,,
38225,16.619985,139,,,
38364,19.710564,139,,,
38503,15.315772,139,,,
38642,21.811006,139,,,
38781,23.780131,139,0.9149141907691956,3.5089942514896393,2.5907391399145125
38920,23.291929,139,,,
39059,17.539349,139,,,
39198,18.722618,139,,,
39337,17.131687,139,,,
39476,25.487281,139,,,
39615,21.653957,139,,,
39754,24.047798,139,,,
39893,12.309082,139,,,
40032,18.592546,139,,,
40171,18.350871,139,,,
40310,17.421322,139,,,
40449,22.310408,139,,,
40588,25.493308,139,,,
40727,20.924743,139,,,
40866,22.497536,139,0.9090420603752136,3.5049713104963303,3.0028762400150297
41005,13.953646,139,,,
41144,21.256587,139,,,
41283,18.154418,139,,,
41422,17.324335,139,,,
41561,8.821772,139,,,
41700,22.36362,139,,,
41839,18.569386,139,,,
41978,17.888228,139,,,
42117,18.624417,139,,,
42256,30.511204,139,,,
42395,13.063079,139,,,
42534,18.308534,139,,,
42673,22.182885,139,,,
42812,19.723046,139,,,
42951,26.883703,139,0.9237716197967529,3.5034530431032183,2.5717100739479064
43090,18.116432,139,,,
43229,6.770572,139,,,
43368,22.834729,139,,,
43507,19.444047,139,,,
43646,22.25682,139,,,
43785,11.676162,139,,,
43924,7.297448,139,,,
44063,12.694556,139,,,
44202,27.41523,139,,,
44341,17.814719,139,,,
44480,14.344246,139,,,
44619,23.151537,139,,,
44758,18.399246,139,,,
44897,20.516286,139,,,
45036,17.801821,139,0.9198772311210632,3.508482101559639,2.566906140744686
45175,17.586248,139,,,
45314,24.78741,139,,,
45453,24.71179,139,,,
45592,18.33522,139,,,
45731,22.383884,139,,,
45870,14.207806,139,,,
46009,21.368335,139,,,
46148,14.936681,139,,,
46287,23.209077,139,,,
46426,24.696697,139,,,
46565,15.052014,139,,,
46704,25.265881,139,,,
46843,15.321362,139,,,
46982,21.32164,139,0.9107992649078369,3.502393251657486,2.937565249204636
47121,18.093786,139,,,
47260,20.126292,139,,,
47399,25.714445,139,,,
47538,14.239227,139,,,
47677,28.267018,139,,,
47816,11.579782,139,,,
47955,16.295287,139,,,
48094,19.310885,139,,,
48233,19.934075,139,,,
48372,10.133791,139,,,
48511,18.007689,139,,,
48650,19.097994,139,,,
48789,19.729191,139,,,
48928,12.90914,139,,,
49067,16.408842,139,0.9357894062995911,3.5068717330694197,2.248245340585709
49206,10.868013,139,,,
49345,18.956081,139,,,
49484,18.493806,139,,,
49623,23.017153,139,,,
49762,23.528059,139,,,
49901,28.043989,139,,,
50040,15.067322,139,,,
50179,19.942475,139,,,
50318,18.897362,139,,,
50457,16.949686,139,,,
50596,26.304227,139,,,
50735,22.650727,139,,,
50874,10.663364,139,,,
51013,29.125094,139,,,
51152,21.710377,139,0.9271972179412842,3.52968615591526,2.5338516503572466
51291,18.553209,139,,,
51430,18.74029,139,,,
51569,25.525634,139,,,
51708,17.928208,139,,,
51847,9.530831,139,,,
51986,19.277154,139,,,
52125,20.621854,139,,,
52264,20.122242,139,,,
52403,17.594442,139,,,
52542,27.17386,139,,,
52681,20.365274,139,,,
52820,28.975559,139,,,
52959,19.51846,139,,,
53098,30.488887,139,,,
53237,26.423101,139,0.9207521677017212,3.5502727210521696,2.6007384419441224
53376,18.562884,139,,,
53515,16.121267,139,,,
53654,38.242087,139,,,
53793,19.327244,139,,,
53932,27.618458,139,,,
54071,16.067441,139,,,
54210,29.307847,139,,,
54349,13.944361,139,,,
54488,23.421784,139,,,
54627,24.882572,139,,,
54766,16.673745,139,,,
54905,16.836008,139,,,
55044,20.463695,139,,,
55183,19.922086,139,0.9187796115875244,3.560038724541664,2.937361401319504
55322,25.509483,139,,,
55461,27.010928,139,,,
55600,22.228304,139,,,
55739,17.751796,139,,,
55878,16.424005,139,,,
56017,22.405763,139,,,
56156,24.926611,139,,,
56295,23.091882,139,,,
56434,27.375335,139,,,
56573,23.752395,139,,,
56712,22.033534,139,,,
56851,21.717981,139,,,
56990,18.966512,139,,,
57129,16.705392,139,,,
57268,26.157292,139,0.926182746887207,3.566185811161995,2.487184911966324
57407,11.477623,139,,,
57546,22.100969,139,,,
57685,25.090156,139,,,
57824,23.739439,139,,,
57963,26.270073,139,,,
58102,23.396235,139,,,
58241,13.745361,139,,,
58380,19.40276,139,,,
58519,18.579254,139,,,
58658,18.877542,139,,,
58797,17.075003,139,,,
58936,13.580788,139,,,
59075,29.214631,139,,,
59214,15.981169,139,,,
59353,16.299603,139,0.9235173463821411,3.56959924697876,2.5221009701490402
59492,21.88494,139,,,
59631,21.742327,139,,,
59770,21.55079,139,,,
59909,18.71937,139,,,
60048,22.181635,139,,,
60187,20.962049,139,,,
60326,23.497377,139,,,
60465,20.021121,139,,,
60604,24.78431,139,,,
60743,21.053598,139,,,
60882,18.612177,139,,,
61021,28.070738,139,,,
61160,23.591697,139,,,
61299,20.460096,139,,,
61438,26.785975,139,0.9317480325698853,3.568897381424904,2.442222534120083
61577,24.3353,139,,,
61716,23.697625,139,,,
61855,25.691198,139,,,
61994,22.623035,139,,,
62133,31.163649,139,,,
62272,29.786887,139,,,
62411,32.768069,139,,,
62550,27.791091,139,,,
62689,26.258068,139,,,
62828,29.862645,139,,,
62967,15.482783,139,,,
63106,26.219519,139,,,
63245,32.383625,139,,,
63384,23.651552,139,0.9407082796096802,3.5699371576309202,2.2512173146009444
63523,22.166765,139,,,
63662,22.838231,139,,,
63801,13.850024,139,,,
63940,35.350242,139,,,
64079,28.578632,139,,,
64218,20.944193,139,,,
64357,30.253814,139,,,
64496,13.052871,139,,,
64635,13.574771,139,,,
64774,19.479932,139,,,
64913,29.573649,139,,,
65052,23.54368,139,,,
65191,22.949452,139,,,
65330,15.362827,139,,,
65469,27.297248,139,0.9329915046691895,3.5683223396539687,2.7470526099205017
65608,32.346483,139,,,
65747,33.573028,139,,,
65886,23.759434,139,,,
66025,21.069475,139,,,
66164,25.220037,139,,,
