timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-5.378626,455,,,
910,-6.28811,455,,,
1365,-7.105961,455,,,
1820,-6.556263,455,,,
2275,-3.91938,455,,,
2730,-13.475294,455,,,
3185,-11.023935,455,,,
3640,-3.135934,455,,,
4095,-6.707384,455,-0.037116050720214844,6.379089903831482,9.492812657356263
4550,-9.835568,455,,,
5005,-4.360315,455,,,
5460,-7.237881,455,,,
5915,-7.130886,455,0.41638338565826416,6.378506153821945,6.842767608165741
6370,-4.797176,455,,,
6825,-7.285707,455,,,
7280,-11.690202,455,,,
7735,-5.673001,455,,,
8190,-7.703775,455,0.7388907074928284,6.397703021764755,4.8828425228595735
8645,-5.809238,455,,,
9100,-5.628276,455,,,
9555,-6.256121,455,,,
10010,-11.567765,455,0.861751914024353,6.407109093666077,3.6698856234550474
10465,0.506707,455,,,
10920,-4.505954,455,,,
11375,-3.254493,455,,,
11830,-11.213089,455,,,
12285,-5.71757,455,0.9157604575157166,6.411182260513305,2.7322208166122435
12740,-4.549722,455,,,
13195,-8.280789,455,,,
13650,-3.055105,455,,,
14105,-7.062168,455,0.9370007514953613,6.424225604534149,2.4398364827036856
14560,-4.43132,455,,,
15015,-5.472063,455,,,
15470,-7.453388,455,,,
15925,-3.835831,455,,,
16380,-1.264337,455,0.9524732232093811,6.44229331612587,1.9763387963175774
16835,-3.172215,455,,,
17290,-1.361347,455,,,
17745,-3.378029,455,,,
18200,-0.712112,455,0.9595860838890076,6.468044018745422,1.665517519414425
18655,-4.918314,455,,,
19110,-1.375756,455,,,
19565,-1.935094,455,,,
20020,-5.225803,455,,,
20475,0.407813,455,0.9607251286506653,6.48633331656456,1.6704475641250611
20930,-1.797837,455,,,
21385,-4.56673,455,,,
21840,-2.104307,455,,,
22295,-1.599466,455,0.9704139828681946,6.476036196947097,1.1615462839603423
22750,-4.752063,455,,,
23205,0.311351,455,,,
23660,1.549388,455,,,
24115,-3.52831,455,,,
24570,0.907026,455,0.9715477228164673,6.4700194001197815,1.3426431007683277
25025,-1.841908,455,,,
25480,3.61858,455,,,
25935,1.037657,455,,,
26390,5.919979,455,0.964201807975769,6.4534432768821715,1.5729529306292533
26845,0.654615,455,,,
27300,3.771274,455,,,
27755,-1.923458,455,,,
28210,2.332335,455,,,
28665,0.058701,455,0.9741482138633728,6.437855595350266,1.2902678981423379
29120,2.932128,455,,,
29575,7.274737,455,,,
30030,1.364831,455,,,
