timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-25.800501,455,,,
910,-26.850574,455,,,
1365,-32.247898,455,,,
1820,-30.869172,455,,,
2275,-28.272224,455,,,
2730,-29.245625,455,,,
3185,-32.62868,455,,,
3640,-32.441921,455,,,
4095,-29.086398,455,0.012145400047302246,6.40942416191101,6.038949972391128
4550,-31.111285,455,,,
5005,-23.434407,455,,,
5460,-32.305994,455,,,
5915,-30.064599,455,0.49731308221817017,6.4358570873737335,4.888136070966721
6370,-31.665766,455,,,
6825,-33.001339,455,,,
7280,-32.251058,455,,,
7735,-28.045373,455,,,
8190,-33.527961,455,0.7102286219596863,6.437625533342361,3.825933912396431
8645,-33.114985,455,,,
9100,-29.652447,455,,,
9555,-28.441622,455,,,
10010,-26.834395,455,0.8195687532424927,6.425446528196335,2.997043600678444
10465,-32.151364,455,,,
10920,-32.517682,455,,,
11375,-32.332289,455,,,
11830,-26.064897,455,,,
12285,-31.610954,455,0.8862146139144897,6.415258169174194,2.3590670853853224
12740,-25.70522,455,,,
13195,-26.702791,455,,,
13650,-30.896549,455,,,
14105,-32.227852,455,0.9006535410881042,6.408881735801697,2.102925242483616
14560,-32.235218,455,,,
15015,-30.344155,455,,,
15470,-32.321121,455,,,
15925,-28.587564,455,,,
16380,-32.58319,455,0.932441771030426,6.415288519859314,1.6046964213252068
16835,-30.729031,455,,,
17290,-27.851535,455,,,
17745,-29.754586,455,,,
18200,-27.282126,455,0.9404627680778503,6.419441771507263,1.4455995231866836
18655,-29.044632,455,,,
19110,-24.740516,455,,,
19565,-26.80073,455,,,
20020,-26.803003,455,,,
20475,-30.994151,455,0.9405316710472107,6.420063489675522,1.5495079666376115
20930,-22.630679,455,,,
21385,-22.494867,455,,,
21840,-24.589783,455,,,
22295,-24.577495,455,0.9558956027030945,6.414194792509079,1.0498619638383389
22750,-28.216056,455,,,
23205,-25.436653,455,,,
23660,-29.274766,455,,,
24115,-23.030128,455,,,
24570,-20.61308,455,0.9520515203475952,6.422597569227219,1.211056362092495
25025,-23.771,455,,,
