timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,17.429272,455,,,
910,16.923989,455,,,
1365,13.024397,455,,,
1820,19.205422,455,,,
2275,15.555971,455,,,
2730,11.667244,455,,,
3185,17.21508,455,,,
3640,11.429438,455,,,
4095,8.037548,455,0.015296876430511475,6.377419573068619,4.536090874671936
4550,13.499475,455,,,
5005,15.712585,455,,,
5460,17.444568,455,,,
5915,13.024804,455,0.5446472764015198,6.36190494298935,3.920763412117958
6370,12.425416,455,,,
6825,15.514532,455,,,
7280,13.50366,455,,,
7735,14.475253,455,,,
8190,7.723559,455,0.7647337913513184,6.352057754993439,3.004165980219841
8645,10.161558,455,,,
9100,13.462933,455,,,
9555,14.341947,455,,,
10010,20.502775,455,0.8605716824531555,6.3496642231941225,2.712121617794037
10465,17.248615,455,,,
10920,10.135448,455,,,
11375,12.256854,455,,,
11830,16.839059,455,,,
12285,14.685726,455,0.9024637937545776,6.363132804632187,2.1518510982394217
12740,16.821343,455,,,
13195,14.612822,455,,,
13650,19.37912,455,,,
14105,18.101985,455,0.9244875907897949,6.369380491971969,2.0261208325624467
14560,15.621555,455,,,
15015,16.434767,455,,,
15470,12.92051,455,,,
15925,16.482931,455,,,
16380,13.248173,455,0.943943440914154,6.371073698997497,1.6326588556170463
16835,18.795293,455,,,
17290,19.326614,455,,,
17745,22.207765,455,,,
18200,17.883093,455,0.9453603029251099,6.381047350168228,1.6527484774589538
18655,21.955083,455,,,
19110,16.513761,455,,,
19565,15.631567,455,,,
20020,17.637248,455,,,
20475,15.19927,455,0.9629409313201904,6.390983474254608,1.2832913465797902
20930,18.142461,455,,,
21385,18.846327,455,,,
21840,21.494766,455,,,
22295,15.390144,455,0.9601379632949829,6.390711897611618,1.2891596242785455
22750,18.196709,455,,,
23205,18.560588,455,,,
23660,20.435188,455,,,
24115,16.426311,455,,,
24570,19.828845,455,0.9673908948898315,6.391888701915741,1.051340115815401
25025,16.98369,455,,,
25480,21.706177,455,,,
25935,20.19225,455,,,
26390,19.418902,455,0.9704882502555847,6.408216452598571,1.0452470511198044
26845,19.108421,455,,,
27300,24.348015,455,,,
27755,23.554463,455,,,
28210,21.368093,455,,,
28665,23.362023,455,0.9686729907989502,6.432806539535522,1.026619504392147
29120,21.969705,455,,,
29575,23.319788,455,,,
30030,20.430787,455,,,
30485,25.622071,455,0.972766637802124,6.436434882879257,0.960203068703413
30940,24.036086,455,,,
31395,23.066595,455,,,
31850,22.57793,455,,,
32305,20.867364,455,,,
32760,20.396292,455,0.9723798036575317,6.424970972537994,1.0176486499607562
33215,27.562976,455,,,
33670,22.723587,455,,,
34125,24.110138,455,,,
34580,21.359692,455,0.9757193922996521,6.430744999647141,0.8442511402070523
35035,22.793759,455,,,
35490,21.037525,455,,,
35945,25.987856,455,,,
36400,20.512962,455,,,
36855,21.227707,455,0.9777030944824219,6.434194082021714,0.8933620594441891
37310,25.188334,455,,,
37765,26.04566,455,,,
38220,26.368144,455,,,
38675,18.570312,455,0.9739884734153748,6.432825511693954,0.8939162574708461
39130,19.92738,455,,,
39585,19.416603,455,,,
40040,22.534476,455,,,
40495,21.131046,455,,,
40950,28.09078,455,0.9746195077896118,6.424766707420349,0.816369654238224
41405,22.719005,455,,,
41860,23.629131,455,,,
42315,27.732832,455,,,
42770,19.219271,455,0.9762685298919678,6.419334715604782,0.7981586739420891
43225,24.780138,455,,,
43680,26.429394,455,,,
44135,23.712806,455,,,
44590,25.823763,455,,,
45045,26.877677,455,0.9786129593849182,6.4134382665157315,0.7791754543781281
45500,21.954471,455,,,
45955,27.758846,455,,,
46410,27.708165,455,,,
46865,24.719415,455,0.9735336899757385,6.398721200227738,0.865419065952301
47320,28.263557,455,,,
47775,27.695179,455,,,
48230,21.548535,455,,,
48685,26.209513,455,,,
49140,27.912956,455,0.9726288318634033,6.424346512556076,0.7237775683403015
49595,25.175812,455,,,
50050,25.030379,455,,,
50505,28.8445,455,,,
50960,25.357438,455,0.9742885231971741,6.450035560131073,0.8716591730713844
51415,24.286625,455,,,
51870,23.670482,455,,,
52325,27.119949,455,,,
52780,28.793918,455,,,
53235,30.249342,455,0.9787043929100037,6.449683082103729,0.6907806772738695
53690,22.923875,455,,,
54145,27.055054,455,,,
54600,23.950593,455,,,
55055,27.861877,455,0.9758839011192322,6.461788064241409,0.7580211251974106
55510,29.907555,455,,,
55965,29.229224,455,,,
56420,25.762608,455,,,
56875,26.29192,455,,,
57330,24.068421,455,0.9759374260902405,6.4733705699443815,0.6608275078237057
57785,26.409117,455,,,
58240,22.29119,455,,,
58695,25.03622,455,,,
59150,28.469556,455,0.9807659387588501,6.481404119729996,0.7066773094236851
59605,29.122902,455,,,
60060,29.414175,455,,,
60515,29.354914,455,,,
60970,31.564201,455,,,
