timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,43.596946,455,,,
910,42.848784,455,,,
1365,42.016087,455,,,
1820,39.548824,455,,,
2275,46.639885,455,,,
2730,42.974528,455,,,
3185,50.010356,455,,,
3640,43.021689,455,,,
4095,43.89691,455,0.04980182647705078,6.392559909820557,5.9000139772892
4550,41.213049,455,,,
5005,37.680139,455,,,
5460,38.456573,455,,,
5915,44.804951,455,0.4812058210372925,6.392634850740433,5.057364904880524
6370,41.606114,455,,,
6825,41.061434,455,,,
7280,39.554948,455,,,
7735,41.496506,455,,,
8190,35.871957,455,0.6474051475524902,6.400015544891358,4.5801510363817215
8645,37.025316,455,,,
9100,40.406601,455,,,
9555,40.377948,455,,,
10010,37.173065,455,0.8044406175613403,6.413478595018387,3.444353926181793
10465,40.0916,455,,,
10920,42.316307,455,,,
11375,41.493677,455,,,
11830,41.659102,455,,,
12285,38.660002,455,0.8835259079933167,6.421074002981186,2.6746381029486654
12740,39.962379,455,,,
13195,35.690071,455,,,
13650,37.300909,455,,,
14105,41.709391,455,0.9177646636962891,6.42273713350296,2.2141193956136704
14560,41.957075,455,,,
15015,41.79062,455,,,
15470,37.87705,455,,,
15925,42.911288,455,,,
16380,39.281809,455,0.9318017959594727,6.415239155292511,1.8436755672097207
16835,39.171768,455,,,
17290,45.229505,455,,,
17745,40.536214,455,,,
18200,42.150303,455,0.9237339496612549,6.403100234270096,2.4971059441566466
18655,45.481937,455,,,
19110,43.949013,455,,,
19565,41.830704,455,,,
20020,44.349976,455,,,
20475,43.601656,455,0.9367886781692505,6.391426002979278,1.8608232855796814
20930,43.809088,455,,,
21385,44.194196,455,,,
21840,41.091991,455,,,
22295,41.952258,455,0.9517361521720886,6.394047838449478,1.5737044259905815
22750,49.555874,455,,,
23205,46.958344,455,,,
23660,43.02758,455,,,
24115,42.371518,455,,,
24570,41.642462,455,0.9551354050636292,6.3984855830669405,1.4929409623146057
25025,42.76878,455,,,
25480,46.54959,455,,,
25935,44.136496,455,,,
26390,42.93362,455,0.9522882103919983,6.397803908586502,1.486594234406948
26845,46.800802,455,,,
27300,41.574608,455,,,
27755,45.450044,455,,,
28210,44.449748,455,,,
28665,44.036241,455,0.9526163339614868,6.396237754821778,1.479334744811058
29120,44.143434,455,,,
29575,42.685873,455,,,
30030,43.849085,455,,,
30485,43.462703,455,0.9531205296516418,6.404895824193955,1.339453949034214
30940,44.963027,455,,,
31395,47.712174,455,,,
31850,46.620208,455,,,
32305,45.24062,455,,,
32760,50.955896,455,0.957150399684906,6.4373436033725735,1.272800660133362
33215,48.835345,455,,,
33670,45.219281,455,,,
