timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-5.731457,455,,,
910,-6.225423,455,,,
1365,-6.486254,455,,,
1820,-8.401209,455,,,
2275,-2.022574,455,,,
2730,-7.079572,455,,,
3185,-2.387397,455,,,
3640,-1.593932,455,,,
4095,-5.749927,455,-0.04174792766571045,6.376148277521134,9.467712587118148
4550,-3.5732,455,,,
5005,-4.642157,455,,,
5460,-3.157715,455,,,
5915,-2.528698,455,0.4322037100791931,6.3750234007835385,6.6771808624267575
6370,-2.318829,455,,,
6825,-4.510469,455,,,
7280,-4.121005,455,,,
7735,-3.556925,455,,,
8190,-2.066525,455,0.7345612645149231,6.387822180986404,4.601208031177521
8645,-4.980359,455,,,
9100,1.295902,455,,,
9555,-5.194726,455,,,
10010,-4.406246,455,0.8642605543136597,6.396915727853775,3.9541406124830245
10465,-1.544354,455,,,
10920,-3.093824,455,,,
11375,-2.151571,455,,,
11830,-1.43664,455,,,
12285,-6.853929,455,0.9062607884407043,6.41032475233078,2.8591037675738336
12740,-4.526817,455,,,
13195,-4.085965,455,,,
13650,-7.26264,455,,,
14105,-4.722168,455,0.9312141537666321,6.419277638196945,2.7026310861110687
14560,2.462899,455,,,
15015,-5.119276,455,,,
15470,-1.087572,455,,,
15925,-1.202075,455,,,
16380,-4.995006,455,0.9501764178276062,6.433677750825882,2.100718119740486
16835,0.785816,455,,,
17290,-2.488864,455,,,
17745,-4.543651,455,,,
18200,-4.437538,455,0.9570708274841309,6.4399230003356935,1.7140958189964295
18655,2.418036,455,,,
19110,0.349292,455,,,
19565,2.483414,455,,,
20020,-1.406916,455,,,
20475,-4.385805,455,0.9643040299415588,6.438549607992172,1.5756805002689362
20930,-0.315114,455,,,
21385,2.503815,455,,,
21840,-1.344318,455,,,
22295,2.631471,455,0.9721935391426086,6.434142619371414,1.266526947170496
22750,-0.122824,455,,,
23205,2.166588,455,,,
23660,0.734614,455,,,
24115,2.294753,455,,,
24570,4.292061,455,0.974642813205719,6.442775517702103,1.2528827011585235
25025,-0.297746,455,,,
25480,3.030362,455,,,
25935,0.674922,455,,,
26390,-4.523811,455,0.9723678827285767,6.44932097196579,1.3512693613767623
26845,0.677146,455,,,
27300,1.597706,455,,,
27755,-2.424295,455,,,
28210,1.932081,455,,,
28665,0.298241,455,0.9772419333457947,6.45531919002533,1.1843512117862702
29120,5.30647,455,,,
29575,6.150647,455,,,
30030,4.143887,455,,,
30485,2.599384,455,0.9743717908859253,6.473296517133713,1.240022460371256
30940,-1.15837,455,,,
31395,4.893095,455,,,
31850,7.717987,455,,,
32305,7.820155,455,,,
32760,6.089026,455,0.9783803224563599,6.475229966640472,1.0686799593269825
33215,6.625116,455,,,
33670,2.270368,455,,,
34125,7.861279,455,,,
34580,12.289908,455,0.9803472757339478,6.467016732692718,0.9597255066037178
35035,6.556267,455,,,
35490,6.764018,455,,,
35945,9.806428,455,,,
36400,7.284424,455,,,
36855,6.719528,455,0.980129599571228,6.471368485689164,0.9337412767112255
37310,11.93512,455,,,
37765,1.384664,455,,,
38220,8.198926,455,,,
38675,7.973368,455,0.9824060201644897,6.486606723070144,1.0013116352260112
39130,6.337865,455,,,
39585,5.340914,455,,,
40040,12.467356,455,,,
40495,11.879599,455,,,
40950,7.836796,455,0.9816534519195557,6.498519170284271,0.8343524232506752
41405,5.229561,455,,,
41860,11.275627,455,,,
42315,7.699066,455,,,
42770,13.033932,455,0.9810053706169128,6.502788925170899,0.9612461760640144
43225,8.723269,455,,,
43680,16.808951,455,,,
44135,8.712398,455,,,
44590,9.274613,455,,,
45045,11.119148,455,0.9840262532234192,6.509456926584244,0.8774830758571625
45500,10.494849,455,,,
45955,13.238647,455,,,
46410,10.831909,455,,,
46865,11.908974,455,0.9813388586044312,6.5222461223602295,0.977574847638607
47320,16.062211,455,,,
47775,15.879593,455,,,
48230,15.219732,455,,,
48685,13.175415,455,,,
49140,13.136104,455,0.9859215617179871,6.534224444627762,0.8387617260217667
49595,14.439446,455,,,
50050,9.519157,455,,,
50505,15.153393,455,,,
50960,20.561548,455,0.9823323488235474,6.554141157865525,0.9298999205231666
51415,13.447447,455,,,
51870,9.945317,455,,,
52325,17.240562,455,,,
52780,13.98556,455,,,
53235,15.1465,455,0.9852169156074524,6.580757629871369,0.8720225259661675
53690,13.722604,455,,,
54145,15.484156,455,,,
54600,6.434327,455,,,
55055,12.589672,455,0.9860351085662842,6.592467451095581,0.8132282830774784
55510,19.908452,455,,,
55965,9.583759,455,,,
56420,14.370673,455,,,
56875,9.053107,455,,,
57330,15.887412,455,0.987324059009552,6.59750908613205,0.736763559281826
57785,14.399961,455,,,
58240,9.702253,455,,,
58695,10.4777,455,,,
59150,19.589687,455,0.9836748838424683,6.61805739402771,0.9347533203661442
59605,22.527626,455,,,
60060,17.188887,455,,,
60515,16.714503,455,,,
60970,13.638164,455,,,
61425,12.562092,455,0.9868655800819397,6.630155521631241,0.7959487326443195
61880,14.69819,455,,,
62335,9.997702,455,,,
62790,14.629123,455,,,
63245,16.062653,455,0.9894005656242371,6.625565451383591,0.7388505421578884
63700,15.711345,455,,,
64155,13.377984,455,,,
64610,15.769651,455,,,
65065,16.836355,455,,,
65520,19.036444,455,0.9868598580360413,6.631987571716309,0.866028468310833
65975,18.784613,455,,,
66430,19.628936,455,,,
66885,14.961688,455,,,
67340,12.785651,455,0.9879862666130066,6.62800430059433,0.6881267867982388
67795,19.646655,455,,,
68250,17.288933,455,,,
68705,20.316454,455,,,
69160,14.383463,455,,,
69615,20.01338,455,0.9855367541313171,6.610325181484223,0.8415827050805091
70070,21.324695,455,,,
70525,16.95296,455,,,
70980,21.108523,455,,,
71435,18.524531,455,0.9865342378616333,6.610933631658554,0.8132066182792187
71890,17.631316,455,,,
72345,24.349783,455,,,
72800,18.13408,455,,,
73255,22.652565,455,,,
73710,21.529922,455,0.988308310508728,6.6103067278862,0.7168505527079105
74165,25.806794,455,,,
74620,17.387167,455,,,
75075,20.650904,455,,,
75530,25.773896,455,0.9854720830917358,6.601695001125336,0.8018215253949166
75985,28.398055,455,,,
76440,30.067591,455,,,
