timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,46.877066,455,,,
910,48.674824,455,,,
1365,48.10799,455,,,
1820,50.175052,455,,,
2275,47.918999,455,,,
2730,45.734159,455,,,
3185,51.21304,455,,,
3640,50.783914,455,,,
4095,51.56262,455,0.008117854595184326,6.376675087213516,8.179375100135804
4550,46.995004,455,,,
5005,50.533484,455,,,
5460,48.552083,455,,,
5915,55.084965,455,0.22782719135284424,6.366380137205124,5.792882010340691
6370,47.571836,455,,,
6825,48.388522,455,,,
7280,56.300979,455,,,
7735,52.657605,455,,,
8190,46.311322,455,0.5224208235740662,6.36076250076294,4.1854868799448015
8645,49.407864,455,,,
9100,57.668904,455,,,
9555,50.159547,455,,,
10010,48.480441,455,0.7498350143432617,6.354642087221146,2.9985220700502397
10465,46.191268,455,,,
10920,46.97511,455,,,
11375,52.292555,455,,,
11830,48.513501,455,,,
12285,49.914922,455,0.8315503001213074,6.3591913998126985,3.072755280137062
12740,48.012929,455,,,
13195,49.514771,455,,,
13650,57.314861,455,,,
14105,55.391209,455,0.8624072074890137,6.383136838674545,2.4221282705664633
14560,49.66089,455,,,
15015,48.409124,455,,,
15470,54.869109,455,,,
15925,51.983807,455,,,
16380,50.642501,455,0.8908871412277222,6.382993984222412,2.6103155955672266
16835,51.07301,455,,,
17290,56.460293,455,,,
17745,53.37047,455,,,
18200,53.619251,455,0.8971496224403381,6.390477734804153,1.980648972094059
18655,49.641179,455,,,
19110,52.652035,455,,,
19565,54.346745,455,,,
20020,57.269942,455,,,
20475,51.762706,455,0.9148789048194885,6.399193090200424,2.042132671177387
20930,51.137024,455,,,
21385,54.010855,455,,,
21840,50.566162,455,,,
22295,54.16577,455,0.9316682815551758,6.4091746509075165,1.9440773233771325
22750,56.691772,455,,,
23205,56.058267,455,,,
23660,54.938098,455,,,
24115,53.521373,455,,,
24570,55.34692,455,0.9220023155212402,6.40772767663002,1.754993200302124
25025,57.307329,455,,,
25480,59.67319,455,,,
25935,53.625573,455,,,
26390,52.899604,455,0.940169632434845,6.415126007795334,1.5372168287634849
26845,60.527273,455,,,
27300,55.273876,455,,,
27755,51.236583,455,,,
28210,55.041948,455,,,
28665,52.870764,455,0.9487900733947754,6.423561871051788,1.3770062655210495
29120,53.143015,455,,,
29575,53.013622,455,,,
30030,52.735856,455,,,
30485,52.301138,455,0.9450064897537231,6.43573597073555,1.3565014883875848
30940,53.914263,455,,,
31395,53.693439,455,,,
31850,55.166748,455,,,
32305,52.620831,455,,,
32760,56.043211,455,0.9530861973762512,6.446653413772583,1.1819725342094898
33215,54.128042,455,,,
33670,55.015227,455,,,
34125,58.355087,455,,,
34580,58.216963,455,0.9621300101280212,6.4509396851062775,1.1946562260389328
35035,52.845731,455,,,
35490,54.076899,455,,,
35945,60.226086,455,,,
36400,51.705044,455,,,
36855,60.171432,455,0.9612912535667419,6.460393488407135,1.1401996314525604
37310,57.581911,455,,,
37765,56.889322,455,,,
38220,54.908235,455,,,
38675,61.907419,455,0.9602442979812622,6.45458955168724,1.0488661706447602
39130,55.040797,455,,,
39585,54.857706,455,,,
40040,58.456788,455,,,
40495,55.58677,455,,,
40950,57.340135,455,0.962357223033905,6.455391746759415,0.9648218899965286
41405,61.00341,455,,,
41860,57.641875,455,,,
42315,63.450897,455,,,
42770,62.979501,455,0.9654160737991333,6.474353331327438,0.9941190712153911
43225,65.124,455,,,
43680,64.992075,455,,,
44135,59.979134,455,,,
44590,55.277884,455,,,
45045,57.072117,455,0.9703826904296875,6.483504450321197,0.9563065774738788
45500,58.762724,455,,,
45955,64.697961,455,,,
46410,59.158655,455,,,
46865,63.481112,455,0.9676472544670105,6.4746224820613865,0.8517604753375053
47320,60.432195,455,,,
47775,62.609651,455,,,
48230,62.934052,455,,,
48685,61.726371,455,,,
49140,59.859639,455,0.9671275615692139,6.458882582187653,0.9011702485382557
49595,65.201301,455,,,
50050,60.717253,455,,,
50505,58.444171,455,,,
50960,60.899564,455,0.9692352414131165,6.454426234960556,0.8300162501633167
51415,59.532064,455,,,
51870,61.4285,455,,,
52325,55.073679,455,,,
52780,63.300754,455,,,
53235,64.072388,455,0.9726309180259705,6.473708945512771,0.8630597330629826
53690,61.979808,455,,,
54145,67.105787,455,,,
54600,61.385171,455,,,
55055,62.878318,455,0.9746477603912354,6.4786120593547825,0.7440422117710114
55510,62.957203,455,,,
55965,65.192975,455,,,
56420,61.273651,455,,,
56875,69.875485,455,,,
57330,63.822435,455,0.9778161644935608,6.469026672840118,0.8559229351580143
57785,62.289715,455,,,
58240,62.192424,455,,,
58695,64.146568,455,,,
59150,68.943391,455,0.9761145710945129,6.464182883501053,0.8511243656277656
59605,65.343764,455,,,
60060,64.624445,455,,,
60515,64.035004,455,,,
60970,64.734138,455,,,
61425,60.964393,455,0.9782894849777222,6.461379092931748,0.7418709963560104
61880,68.754601,455,,,
62335,67.627605,455,,,
62790,69.147545,455,,,
63245,68.209491,455,0.9780705571174622,6.469108748435974,0.7847774125635624
63700,67.270531,455,,,
64155,66.316476,455,,,
64610,67.702306,455,,,
65065,69.559664,455,,,
65520,70.741444,455,0.978655219078064,6.466573899984359,0.7601960711181164
65975,68.493146,455,,,
66430,65.110441,455,,,
66885,67.96412,455,,,
67340,72.301317,455,0.9768668413162231,6.444202351570129,0.7520912826061249
67795,68.493585,455,,,
