timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,19.031501,139,,,
278,13.613774,139,,,
417,14.014125,139,,,
556,14.594822,139,,,
695,9.588453,139,,,
834,21.398624,139,,,
973,15.7052,139,,,
1112,10.644325,139,,,
1251,14.807244,139,,,
1390,18.120289,139,,,
1529,11.450116,139,,,
1668,14.662988,139,,,
1807,14.090326,139,,,
1946,13.131424,139,,,
2085,7.785549,139,,,
2224,16.578524,139,,,
2363,24.371843,139,,,
2502,13.39839,139,,,
2641,10.622238,139,,,
2780,13.944003,139,,,
2919,4.474095,139,,,
3058,14.259606,139,,,
3197,12.246361,139,,,
3336,23.248406,139,,,
3475,18.776041,139,,,
3614,10.879836,139,,,
3753,9.583191,139,,,
3892,23.137098,139,,,
4031,16.289284,139,0.0008527636528015137,3.5014871269464494,13.612805545330048
4170,20.768794,139,,,
4309,15.43594,139,,,
4448,15.466321,139,,,
4587,15.727901,139,,,
4726,13.632054,139,,,
4865,8.208531,139,,,
5004,11.715196,139,,,
5143,13.900196,139,,,
5282,19.347365,139,,,
5421,12.353377,139,,,
5560,12.241541,139,,,
5699,18.717828,139,,,
5838,22.518274,139,,,
5977,14.389701,139,,,
6116,16.765753,139,-0.0015985965728759766,3.506815156340599,12.245352911949158
6255,8.243739,139,,,
6394,18.99415,139,,,
6533,11.235936,139,,,
6672,13.213569,139,,,
6811,12.99807,139,,,
6950,5.104881,139,,,
7089,22.34777,139,,,
7228,14.956706,139,,,
7367,10.712219,139,,,
7506,15.839447,139,,,
7645,13.941401,139,,,
7784,20.819164,139,,,
7923,18.299179,139,,,
8062,20.205537,139,0.002022385597229004,3.491923373937607,13.437652564048767
8201,17.117561,139,,,
8340,17.783481,139,,,
8479,14.471407,139,,,
8618,16.709118,139,,,
8757,18.148367,139,,,
8896,9.342455,139,,,
9035,13.568382,139,,,
9174,16.205156,139,,,
9313,10.447775,139,,,
9452,12.53997,139,,,
9591,17.875328,139,,,
9730,3.076485,139,,,
9869,16.122661,139,,,
10008,20.954932,139,,,
10147,19.01131,139,-0.00021469593048095703,3.513820180296898,13.84913855791092
10286,6.90362,139,,,
10425,12.866754,139,,,
10564,7.057397,139,,,
10703,26.835184,139,,,
10842,9.062315,139,,,
10981,13.96395,139,,,
11120,26.436987,139,,,
11259,17.461453,139,,,
11398,11.725776,139,,,
11537,14.944945,139,,,
11676,16.912992,139,,,
11815,3.067185,139,,,
11954,11.033443,139,,,
12093,17.255559,139,,,
12232,17.35148,139,0.001232445240020752,3.539006468653679,14.223126566410064
12371,7.196867,139,,,
12510,10.502021,139,,,
12649,13.384504,139,,,
12788,22.895207,139,,,
12927,12.079225,139,,,
13066,6.187037,139,,,
13205,15.225914,139,,,
13344,13.810555,139,,,
13483,16.316731,139,,,
13622,16.873944,139,,,
13761,24.425673,139,,,
13900,17.254758,139,,,
14039,24.877974,139,,,
14178,13.376285,139,,,
14317,12.915252,139,-0.002138972282409668,3.5567945152521134,13.70744434595108
14456,18.044519,139,,,
14595,12.337598,139,,,
14734,8.188514,139,,,
14873,13.647905,139,,,
