timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-8.936516,139,,,
278,-8.601374,139,,,
417,2.629391,139,,,
556,-14.45265,139,,,
695,1.837472,139,,,
834,-11.536627,139,,,
973,-10.067297,139,,,
1112,-5.414397,139,,,
1251,3.801874,139,,,
1390,-4.162681,139,,,
1529,0.528749,139,,,
1668,-6.59502,139,,,
1807,-1.442088,139,,,
1946,-5.246272,139,,,
2085,-3.247532,139,,,
2224,3.307212,139,,,
2363,-6.03579,139,,,
2502,-3.842094,139,,,
2641,-1.657351,139,,,
2780,-12.127782,139,,,
2919,-7.899001,139,,,
3058,8.248472,139,,,
3197,-9.502577,139,,,
3336,-8.908294,139,,,
3475,0.002489,139,,,
3614,4.295486,139,,,
3753,-6.265104,139,,,
3892,-16.279941,139,,,
4031,-7.765719,139,-0.0020029544830322266,3.499944916367531,12.672560334205627
