timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-47.984008,455,,,
910,-45.191847,455,,,
1365,-43.971776,455,,,
1820,-49.750074,455,,,
2275,-44.473037,455,,,
2730,-42.825915,455,,,
3185,-37.414023,455,,,
3640,-49.099662,455,,,
4095,-39.795304,455,-0.0014690160751342773,6.407545816898346,10.617643117904663
4550,-43.227087,455,,,
5005,-41.137981,455,,,
5460,-44.60967,455,,,
5915,-40.506662,455,0.20149338245391846,6.430857908725739,8.50585098862648
6370,-38.425818,455,,,
6825,-40.169497,455,,,
7280,-40.300958,455,,,
7735,-35.553702,455,,,
8190,-40.331676,455,0.509842574596405,6.4437360763549805,5.758716261386871
8645,-36.363332,455,,,
9100,-40.23687,455,,,
9555,-42.077421,455,,,
10010,-39.59025,455,0.7137362957000732,6.441078865528107,4.81340953707695
10465,-44.194871,455,,,
10920,-34.355484,455,,,
11375,-40.642274,455,,,
11830,-42.169755,455,,,
12285,-38.529463,455,0.8010032176971436,6.4538516223430635,3.54415058195591
12740,-39.184065,455,,,
13195,-40.717244,455,,,
13650,-40.268769,455,,,
14105,-45.375185,455,0.8421037197113037,6.475419372320175,3.358817827701569
14560,-37.146194,455,,,
15015,-42.575515,455,,,
15470,-41.81102,455,,,
15925,-47.483679,455,,,
16380,-36.062185,455,0.8798131346702576,6.500250506401062,2.45821093916893
16835,-41.97212,455,,,
17290,-37.061247,455,,,
17745,-38.129672,455,,,
18200,-35.43169,455,0.8974143266677856,6.515514129400254,2.358936643600464
18655,-33.207488,455,,,
19110,-39.210797,455,,,
19565,-36.839735,455,,,
20020,-38.317614,455,,,
20475,-34.188136,455,0.8999584317207336,6.532355415821075,1.9752020940184594
20930,-32.91826,455,,,
21385,-34.467526,455,,,
21840,-39.802707,455,,,
22295,-34.219467,455,0.9165289402008057,6.543927299976349,1.8957919299602508
22750,-37.339258,455,,,
23205,-33.558162,455,,,
23660,-36.185211,455,,,
24115,-37.293131,455,,,
24570,-33.243095,455,0.9234524965286255,6.550625640153885,1.597962673008442
25025,-37.268237,455,,,
25480,-33.35742,455,,,
25935,-35.395012,455,,,
26390,-36.099296,455,0.9202457070350647,6.550103181600571,1.5194283783435822
26845,-31.972609,455,,,
27300,-31.001647,455,,,
27755,-35.219665,455,,,
28210,-31.940985,455,,,
28665,-31.658603,455,0.9265204668045044,6.564156037569046,1.5451604098081588
29120,-33.558564,455,,,
29575,-33.077744,455,,,
30030,-33.589601,455,,,
30485,-30.438958,455,0.9367490410804749,6.578962409496308,1.2523536115884781
30940,-31.589987,455,,,
31395,-33.550638,455,,,
31850,-33.945568,455,,,
32305,-30.589787,455,,,
32760,-29.735943,455,0.9377220869064331,6.59698640704155,1.2363486357033253
33215,-27.640369,455,,,
33670,-32.70114,455,,,
34125,-34.10046,455,,,
34580,-34.61244,455,0.9470717906951904,6.611897540092468,1.2261646963655948
35035,-29.71174,455,,,
35490,-29.213119,455,,,
35945,-28.635742,455,,,
36400,-30.798857,455,,,
36855,-25.984522,455,0.9461002945899963,6.632688742876053,1.0936507299542426
37310,-26.627047,455,,,
37765,-29.490046,455,,,
38220,-31.052184,455,,,
38675,-31.946139,455,0.952491044998169,6.651597619056702,1.1514700122177601
39130,-31.605899,455,,,
39585,-26.288503,455,,,
40040,-34.749253,455,,,
40495,-26.396167,455,,,
40950,-32.445045,455,0.9541205167770386,6.660689246654511,1.1511605121195316
41405,-18.868425,455,,,
41860,-31.704778,455,,,
42315,-26.539019,455,,,
42770,-29.168619,455,0.9477158784866333,6.668564176559448,1.1624277628958226
43225,-29.965152,455,,,
43680,-28.512055,455,,,
44135,-23.645583,455,,,
44590,-26.595215,455,,,
45045,-26.916472,455,0.9605299234390259,6.677520310878753,0.7979835882782936
45500,-32.749912,455,,,
45955,-23.068379,455,,,
46410,-23.212617,455,,,
46865,-23.293358,455,0.9521488547325134,6.688827073574066,0.9366310693323612
47320,-27.936021,455,,,
47775,-28.547185,455,,,
48230,-25.065383,455,,,
48685,-21.788698,455,,,
49140,-27.76438,455,0.9471566081047058,6.701583063602447,1.2173345312476158
49595,-28.775502,455,,,
50050,-26.793472,455,,,
