timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-59.929191,455,,,
910,-62.896205,455,,,
1365,-59.14771,455,,,
1820,-62.929996,455,,,
2275,-60.161248,455,,,
2730,-61.001945,455,,,
3185,-61.140993,455,,,
3640,-61.892977,455,,,
4095,-61.553789,455,0.042534828186035156,6.403405344486236,6.653575623035431
4550,-62.726329,455,,,
5005,-62.733702,455,,,
5460,-64.511024,455,,,
5915,-57.731629,455,0.46334612369537354,6.412629348039627,5.260663679242134
6370,-63.122559,455,,,
6825,-63.223622,455,,,
7280,-60.637792,455,,,
7735,-60.977559,455,,,
8190,-66.489789,455,0.6941573619842529,6.405460304021835,4.869980111718178
8645,-63.634277,455,,,
9100,-60.204878,455,,,
9555,-54.140624,455,,,
10010,-60.028552,455,0.794946014881134,6.390881466865539,4.257919701933861
10465,-56.715166,455,,,
10920,-58.44174,455,,,
11375,-62.81254,455,,,
11830,-58.834677,455,,,
12285,-67.628625,455,0.8510771989822388,6.387722849845886,3.7216425210237505
12740,-57.7151,455,,,
13195,-57.682598,455,,,
13650,-66.166642,455,,,
14105,-58.649035,455,0.8480733633041382,6.402155697345734,3.3742815613746644
14560,-59.70941,455,,,
15015,-56.742363,455,,,
15470,-59.5091,455,,,
15925,-62.405144,455,,,
16380,-57.573426,455,0.8913757801055908,6.4158905148506165,2.4359089002013206
16835,-55.283293,455,,,
17290,-57.258756,455,,,
17745,-56.586036,455,,,
18200,-58.593334,455,0.9214051961898804,6.415209698677063,2.1337647825479507
18655,-58.833956,455,,,
19110,-58.782675,455,,,
19565,-54.159721,455,,,
20020,-59.35383,455,,,
20475,-58.168376,455,0.9352158308029175,6.42098188996315,1.8681559726595878
20930,-56.275634,455,,,
21385,-53.414343,455,,,
21840,-61.240115,455,,,
22295,-56.767707,455,0.9548106789588928,6.440777814388275,1.4835429310798645
22750,-59.81866,455,,,
23205,-53.942159,455,,,
23660,-54.039838,455,,,
24115,-50.221732,455,,,
24570,-59.119051,455,0.9380595684051514,6.448090761899948,1.5704168573021888
25025,-55.649805,455,,,
25480,-52.931723,455,,,
25935,-57.613406,455,,,
26390,-50.748182,455,0.9535344839096069,6.468369209766388,1.321561999619007
26845,-53.248521,455,,,
27300,-57.997398,455,,,
27755,-54.45861,455,,,
28210,-53.94658,455,,,
28665,-52.44175,455,0.9546585083007812,6.501339095830917,1.3266611546278
29120,-53.969438,455,,,
29575,-57.542167,455,,,
30030,-52.261878,455,,,
30485,-52.304142,455,0.9580968618392944,6.519340789318084,1.2045023500919343
30940,-59.074372,455,,,
31395,-50.56609,455,,,
31850,-56.313039,455,,,
32305,-48.614287,455,,,
32760,-50.283904,455,0.965010941028595,6.543811529874802,1.112706969678402
33215,-50.300444,455,,,
33670,-50.463586,455,,,
34125,-50.620497,455,,,
34580,-52.501001,455,0.9649498462677002,6.568796229362488,1.0330288589000702
35035,-52.185102,455,,,
35490,-43.522878,455,,,
35945,-52.800551,455,,,
36400,-50.118327,455,,,
36855,-53.872202,455,0.9613475203514099,6.586452478170395,1.0388478986918925
37310,-54.875529,455,,,
37765,-45.302895,455,,,
38220,-53.141979,455,,,
38675,-49.81722,455,0.9680709838867188,6.599758380651474,0.9379221826791764
39130,-52.501917,455,,,
39585,-51.74934,455,,,
40040,-52.629111,455,,,
40495,-48.144144,455,,,
40950,-48.762593,455,0.9707301259040833,6.6292243778705595,0.9513407528400422
41405,-53.107956,455,,,
41860,-51.030945,455,,,
42315,-55.849478,455,,,
42770,-51.437797,455,0.9651327133178711,6.6476953506469725,0.9320946156978607
43225,-51.245569,455,,,
43680,-51.463658,455,,,
44135,-48.190155,455,,,
44590,-47.806404,455,,,
45045,-47.555431,455,0.9722506999969482,6.676384592056275,0.9088189296424389
45500,-48.145451,455,,,
45955,-52.343741,455,,,
46410,-51.085192,455,,,
46865,-46.507489,455,0.9686036705970764,6.702191877365112,0.8548672571778297
47320,-54.211091,455,,,
47775,-50.83783,455,,,
48230,-54.579478,455,,,
48685,-51.607148,455,,,
49140,-45.939717,455,0.9694934487342834,6.731957268714905,0.8845180444419384
49595,-51.449807,455,,,
50050,-50.727852,455,,,
50505,-47.963385,455,,,
50960,-48.808857,455,0.9751384854316711,6.760879307985306,0.7356838390231133
51415,-44.665703,455,,,
51870,-43.473767,455,,,
52325,-46.138778,455,,,
52780,-46.539006,455,,,
53235,-39.287816,455,0.9750560522079468,6.7937052845954895,0.8077354356646538
53690,-45.857706,455,,,
54145,-44.462624,455,,,
54600,-46.233245,455,,,
55055,-45.036192,455,0.9706542491912842,6.828345280885697,0.7683997929096222
55510,-47.017933,455,,,
55965,-46.711274,455,,,
56420,-41.310124,455,,,
56875,-46.420332,455,,,
57330,-43.527106,455,0.9752241969108582,6.862288558483124,0.7207737103104591
57785,-42.408497,455,,,
58240,-45.179719,455,,,
58695,-42.323921,455,,,
59150,-42.75713,455,0.9771885871887207,6.88885697722435,0.6516669195145368
59605,-44.688911,455,,,
60060,-42.566482,455,,,
60515,-42.30683,455,,,
60970,-43.232704,455,,,
61425,-40.685847,455,0.9738711714744568,6.918180555105209,0.7431207686662674
