timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-76.449895,455,,,
910,-77.591022,455,,,
1365,-77.431769,455,,,
1820,-77.170897,455,,,
2275,-75.618485,455,,,
2730,-87.407324,455,,,
3185,-81.502548,455,,,
3640,-75.88999,455,,,
4095,-77.425477,455,-0.032514214515686035,6.383720207214355,11.330484044551849
4550,-80.56433,455,,,
5005,-78.062355,455,,,
5460,-80.085014,455,,,
5915,-79.928073,455,0.2505336403846741,6.391395139694214,11.232309806346894
6370,-75.207355,455,,,
6825,-79.332805,455,,,
7280,-82.710255,455,,,
7735,-77.406441,455,,,
8190,-79.341752,455,0.5646839141845703,6.413037145137787,9.116495215892792
8645,-76.952243,455,,,
9100,-77.959096,455,,,
9555,-78.000073,455,,,
10010,-82.452264,455,0.6935069561004639,6.41733769774437,8.493058282136918
10465,-71.983689,455,,,
10920,-76.484416,455,,,
11375,-75.00187,455,,,
11830,-82.993539,455,,,
12285,-79.249397,455,0.8119272589683533,6.435411262512207,6.365014386177063
12740,-77.660565,455,,,
13195,-80.750191,455,,,
13650,-76.292523,455,,,
14105,-79.071118,455,0.8356226682662964,6.465752530097961,6.307651472091675
14560,-76.681616,455,,,
15015,-78.528561,455,,,
15470,-80.391139,455,,,
15925,-77.77255,455,,,
16380,-73.266577,455,0.881244421005249,6.492529404163361,4.809627783298493
16835,-75.759514,455,,,
17290,-76.15023,455,,,
17745,-77.452422,455,,,
18200,-74.911606,455,0.8971655964851379,6.526309269666672,4.178363847732544
18655,-78.520156,455,,,
19110,-74.755294,455,,,
19565,-73.791089,455,,,
20020,-78.542378,455,,,
20475,-72.960556,455,0.8931745290756226,6.5544789910316466,4.498922449350357
20930,-73.312011,455,,,
21385,-78.216934,455,,,
21840,-76.498768,455,,,
22295,-76.499415,455,0.9002255201339722,6.560885393619538,3.7158274829387663
22750,-78.47315,455,,,
23205,-73.134047,455,,,
23660,-73.424536,455,,,
24115,-76.537364,455,,,
24570,-73.342898,455,0.9101127982139587,6.559901297092438,3.402865767478943
25025,-77.615558,455,,,
25480,-69.690047,455,,,
25935,-73.539919,455,,,
26390,-66.855499,455,0.9130773544311523,6.554105895757675,3.693967765569687
26845,-72.695748,455,,,
27300,-70.445055,455,,,
27755,-77.691651,455,,,
28210,-71.493421,455,,,
28665,-73.926881,455,0.9421027302742004,6.539169239997864,2.1813006445765497
29120,-69.765297,455,,,
29575,-68.894889,455,,,
30030,-76.044548,455,,,
30485,-72.743475,455,0.9409198760986328,6.534713590145111,2.3683107793331146
30940,-79.55249,455,,,
31395,-75.090357,455,,,
31850,-69.208573,455,,,
32305,-66.10983,455,,,
32760,-70.518192,455,0.9481669664382935,6.550015360116959,2.1013908445835114
33215,-71.814818,455,,,
33670,-73.197105,455,,,
34125,-73.226439,455,,,
34580,-72.647463,455,0.9592764377593994,6.579836338758469,1.7955765098333358
35035,-71.459458,455,,,
35490,-70.950182,455,,,
35945,-70.270164,455,,,
36400,-67.993463,455,,,
36855,-65.883577,455,0.9609153270721436,6.608450710773468,1.681847220659256
37310,-74.921475,455,,,
37765,-72.864569,455,,,
38220,-73.522805,455,,,
38675,-74.01463,455,0.9695630669593811,6.6211653530597685,1.4858824595808984
39130,-69.904996,455,,,
39585,-71.569617,455,,,
40040,-70.697709,455,,,
40495,-70.673566,455,,,
40950,-70.768465,455,0.9722414016723633,6.639684343338013,1.1430515855550767
41405,-67.673431,455,,,
41860,-67.852161,455,,,
42315,-71.376419,455,,,
42770,-71.116329,455,0.9664824604988098,6.6681879460811615,1.396043322980404
43225,-68.60904,455,,,
43680,-66.781986,455,,,
44135,-75.682191,455,,,
44590,-71.270565,455,,,
45045,-70.258799,455,0.9804158806800842,6.68919740319252,0.9435419216752052
45500,-66.573234,455,,,
45955,-67.253999,455,,,
46410,-69.345019,455,,,
46865,-67.23567,455,0.9624621272087097,6.717350631952286,1.5994211912155152
47320,-64.218958,455,,,
47775,-68.460076,455,,,
48230,-70.184054,455,,,
48685,-64.445264,455,,,
49140,-66.899785,455,0.9742054343223572,6.742026227712631,1.0972310811281205
49595,-65.40074,455,,,
50050,-66.012676,455,,,
50505,-62.552511,455,,,
50960,-61.603746,455,0.9698590040206909,6.755378592014313,1.2943485997617246
51415,-69.75406,455,,,
51870,-67.400097,455,,,
52325,-64.913608,455,,,
52780,-61.887758,455,,,
53235,-61.817312,455,0.971437394618988,6.760701650381089,1.2074542440474034
53690,-62.155929,455,,,
54145,-60.127523,455,,,
54600,-64.355692,455,,,
55055,-63.344495,455,0.9750082492828369,6.778334373235703,1.0472457945346831
55510,-62.963248,455,,,
55965,-60.580908,455,,,
56420,-60.418014,455,,,
56875,-60.65461,455,,,
57330,-67.420981,455,0.9785405993461609,6.806790137290955,0.7861901231110096
57785,-58.727831,455,,,
58240,-63.664911,455,,,
58695,-64.00593,455,,,
59150,-64.333636,455,0.9653345942497253,6.825083380937576,1.3424483858048917
59605,-60.883658,455,,,
60060,-56.083665,455,,,
60515,-61.865646,455,,,
60970,-57.444047,455,,,
61425,-59.494031,455,0.9819526672363281,6.825282949209213,0.8241161920130253
61880,-58.306425,455,,,
62335,-62.314006,455,,,
62790,-60.524589,455,,,
63245,-55.848117,455,0.9823541045188904,6.840440160036087,0.8736012279987335
63700,-56.327862,455,,,
64155,-49.502248,455,,,
64610,-54.922742,455,,,
65065,-54.035533,455,,,
65520,-53.336781,455,0.9760633707046509,6.850397497415543,1.0124598272144794
65975,-56.808128,455,,,
66430,-58.305157,455,,,
66885,-61.201521,455,,,
67340,-55.985392,455,0.984706699848175,6.866816920042038,0.6519207257777453
67795,-59.386078,455,,,
68250,-53.426686,455,,,
68705,-60.214076,455,,,
69160,-53.975355,455,,,
69615,-52.55839,455,0.9703636169433594,6.891375082731247,1.0886675044894218
70070,-56.284639,455,,,
70525,-53.968435,455,,,
70980,-52.544857,455,,,
71435,-49.42772,455,0.9773347973823547,6.908129924535752,0.9217395879328251
71890,-54.573059,455,,,
72345,-48.625261,455,,,
72800,-56.394009,455,,,
73255,-51.853394,455,,,
73710,-52.344294,455,0.9838641285896301,6.933080577850342,0.6777373865246773
74165,-53.151171,455,,,
74620,-46.955768,455,,,
75075,-53.202745,455,,,
75530,-55.116671,455,0.977695107460022,6.965121763944626,0.8685213319957257
75985,-49.606583,455,,,
76440,-55.208997,455,,,
76895,-49.17671,455,,,
77350,-50.188767,455,,,
77805,-51.127726,455,0.9816188216209412,6.984344100952148,0.8717130154371262
78260,-55.564714,455,,,
78715,-54.527906,455,,,
79170,-52.273184,455,,,
79625,-49.632452,455,0.984370768070221,7.004996412992478,0.6251668132841587
80080,-51.363878,455,,,
80535,-48.830277,455,,,
80990,-47.957937,455,,,
81445,-51.998495,455,,,
81900,-49.752073,455,0.9849876165390015,7.02281191945076,0.636504390463233
82355,-40.583875,455,,,
82810,-48.418319,455,,,
83265,-42.905437,455,,,
83720,-47.834609,455,0.9833124279975891,7.042377835512161,0.714964409917593
84175,-47.510644,455,,,
84630,-42.106906,455,,,
85085,-45.198832,455,,,
85540,-46.30876,455,,,
85995,-50.052341,455,0.9817945957183838,7.056932556629181,0.7050513871014118
86450,-39.180329,455,,,
86905,-47.010229,455,,,
87360,-44.656199,455,,,
87815,-48.90201,455,0.9741029739379883,7.080287832021713,1.0524274103343487
88270,-38.351322,455,,,
88725,-46.340627,455,,,
89180,-42.778952,455,,,
89635,-37.546083,455,,,
90090,-40.363193,455,0.9816232323646545,7.113938796520233,0.764042878895998
90545,-36.533979,455,,,
91000,-47.425963,455,,,
91455,-36.505772,455,,,
91910,-46.044774,455,0.982445240020752,7.1389476478099825,0.7581296421587467
92365,-41.473956,455,,,
92820,-45.449324,455,,,
93275,-30.652302,455,,,
93730,-41.820303,455,,,
94185,-43.006439,455,0.9750045537948608,7.150276374816895,0.9529580198228359
94640,-33.452837,455,,,
95095,-36.433083,455,,,
95550,-44.184315,455,,,
96005,-37.758302,455,0.9816412925720215,7.164902651309967,0.68636858984828
96460,-36.930092,455,,,
96915,-37.358129,455,,,
97370,-41.284961,455,,,
97825,-32.10897,455,,,
98280,-32.873361,455,0.981776773929596,7.198996376991272,0.7795647874474525
98735,-29.599088,455,,,
99190,-40.972202,455,,,
99645,-33.065636,455,,,
100100,-33.34868,455,0.9803687334060669,7.241371196508408,0.8444039106369019
100555,-34.724567,455,,,
101010,-31.411311,455,,,
101465,-33.130175,455,,,
101920,-35.79535,455,,,
102375,-32.37311,455,0.9819077253341675,7.273663491010666,0.8367679268121719
102830,-23.892824,455,,,
103285,-29.725755,455,,,
103740,-27.990094,455,,,
104195,-38.724967,455,0.9865416288375854,7.279020243883133,0.605528436973691
104650,-29.022765,455,,,
105105,-25.02487,455,,,
105560,-28.265852,455,,,
106015,-31.359169,455,,,
106470,-35.557992,455,0.9782390594482422,7.29628341794014,0.8549134433269501
106925,-38.88362,455,,,
107380,-28.392533,455,,,
107835,-27.300613,455,,,
108290,-37.084201,455,0.9863946437835693,7.310758113861084,0.662295151501894
108745,-27.774338,455,,,
109200,-27.364829,455,,,
109655,-26.526501,455,,,
110110,-28.478518,455,,,
110565,-26.371789,455,0.9847512245178223,7.3308681666851045,0.6534160524606705
111020,-34.039524,455,,,
111475,-31.354611,455,,,
111930,-25.375106,455,,,
112385,-29.99964,455,0.9855292439460754,7.342737895250321,0.7017950668931008
112840,-33.429061,455,,,
113295,-27.948925,455,,,
113750,-24.89651,455,,,
114205,-33.852689,455,,,
114660,-30.322952,455,0.9873037338256836,7.350085175037384,0.6486239459365606
115115,-32.200221,455,,,
115570,-19.619598,455,,,
116025,-30.641344,455,,,
116480,-23.590875,455,0.9845826029777527,7.353062325716019,0.7341159701347351
116935,-24.038536,455,,,
117390,-19.31599,455,,,
117845,-11.865925,455,,,
118300,-21.815744,455,,,
118755,-32.258986,455,0.9844247102737427,7.3697391748428345,0.7135746084153652
119210,-18.931481,455,,,
119665,-20.928871,455,,,
120120,-17.441381,455,,,
120575,-19.820811,455,0.9853666424751282,7.388499283790589,0.6516862522810698
121030,-23.662841,455,,,
121485,-17.013471,455,,,
121940,-18.960707,455,,,
122395,-23.565223,455,,,
122850,-17.10199,455,0.9894055128097534,7.404899305105209,0.6482677556574344
123305,-18.403397,455,,,
123760,-9.05777,455,,,
124215,-16.940892,455,,,
124670,-21.125697,455,0.9868456721305847,7.43344521522522,0.7128149390220642
125125,-22.083516,455,,,
125580,-4.674278,455,,,
126035,-19.279042,455,,,
126490,-8.414113,455,,,
126945,-11.310697,455,0.985651433467865,7.476684820652008,0.7242362566292286
127400,-10.085447,455,,,
127855,-15.215599,455,,,
128310,-13.564187,455,,,
128765,-10.95107,455,0.9868203401565552,7.503768348693848,0.7025981493294239
129220,-11.410761,455,,,
129675,-14.317532,455,,,
130130,-11.906523,455,,,
130585,-7.467044,455,,,
131040,-7.409464,455,0.9849449396133423,7.516960364580155,0.7501652859151363
131495,-13.600672,455,,,
131950,-12.961119,455,,,
132405,-16.628473,455,,,
132860,-15.023533,455,0.9899520874023438,7.534194457530975,0.6413907065987587
133315,-8.780286,455,,,
133770,-15.28123,455,,,
134225,-8.904472,455,,,
134680,-12.926744,455,,,
135135,-8.051179,455,0.9876660704612732,7.558362835645676,0.7224569000303745
135590,-5.426107,455,,,
136045,-6.450535,455,,,
136500,-9.156711,455,,,
136955,-9.656568,455,0.9900065660476685,7.590897542238236,0.6019269306212663
137410,-5.687804,455,,,
137865,-9.782683,455,,,
138320,-12.681067,455,,,
138775,-6.646825,455,,,
139230,-4.757703,455,0.9888631701469421,7.623211532831192,0.6675091311335564
139685,-7.15855,455,,,
140140,-4.782731,455,,,
140595,-8.133763,455,,,
141050,-13.347844,455,0.9908984303474426,7.637143284082413,0.7138206224888564
141505,-11.206869,455,,,
141960,-12.929407,455,,,
142415,-2.466435,455,,,
142870,-6.70035,455,,,
143325,-4.471283,455,0.9876384735107422,7.67388955950737,0.689488073438406
143780,-1.899771,455,,,
144235,-6.650091,455,,,
144690,-1.522716,455,,,
145145,-5.523722,455,0.989216148853302,7.697694879770279,0.659517141804099
145600,-7.231756,455,,,
146055,-7.191943,455,,,
146510,-0.893231,455,,,
146965,-7.858916,455,,,
