timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-0.046059,455,,,
910,1.359878,455,,,
1365,1.058977,455,,,
1820,0.20834,455,,,
2275,1.128252,455,,,
2730,0.786303,455,,,
3185,-1.716162,455,,,
3640,-0.059572,455,,,
4095,1.3702,455,0.13334250450134277,6.394897198677063,0.8956352777779102
4550,-0.932361,455,,,
5005,-0.30231,455,,,
5460,2.182067,455,,,
5915,0.053881,455,0.5411229729652405,6.408125102519989,0.8162302233278751
6370,2.160297,455,,,
6825,2.741723,455,,,
7280,0.372479,455,,,
7735,1.492343,455,,,
8190,3.087986,455,0.7211325168609619,6.426004314422608,0.669330520182848
8645,0.640796,455,,,
9100,0.048886,455,,,
9555,1.647837,455,,,
10010,0.684268,455,0.8247971534729004,6.424336308240891,0.4962625753134489
10465,3.328714,455,,,
10920,1.249855,455,,,
11375,1.393975,455,,,
11830,1.401713,455,,,
12285,6.734853,455,0.8932434916496277,6.41600672006607,0.41012444011867044
12740,5.576372,455,,,
13195,3.644122,455,,,
13650,6.281227,455,,,
14105,2.726884,455,0.909126341342926,6.4105141162872314,0.3736003294587135
14560,4.880684,455,,,
15015,6.081259,455,,,
15470,6.758253,455,,,
15925,5.929576,455,,,
16380,3.3831,455,0.9539245963096619,6.412024980783462,0.28390173651278017
16835,6.492728,455,,,
17290,8.369649,455,,,
17745,7.733046,455,,,
18200,8.086802,455,0.9595116376876831,6.412122911214828,0.29088242147117854
18655,8.869046,455,,,
19110,8.141029,455,,,
19565,8.604485,455,,,
20020,5.721034,455,,,
20475,5.898071,455,0.9721692800521851,6.404051947593689,0.24837944954633712
20930,9.613497,455,,,
21385,12.436063,455,,,
21840,8.107274,455,,,
22295,8.66075,455,0.9656112194061279,6.402615416049957,0.24861263521015645
22750,9.296957,455,,,
23205,10.01266,455,,,
23660,3.400516,455,,,
24115,10.29972,455,,,
24570,10.385167,455,0.972630500793457,6.407593452930451,0.20431417785584927
25025,10.546319,455,,,
25480,10.825054,455,,,
25935,8.884639,455,,,
26390,12.103582,455,0.9492356181144714,6.41260992884636,0.2696047302335501
26845,11.660008,455,,,
27300,12.688173,455,,,
27755,14.896736,455,,,
28210,9.768012,455,,,
28665,10.584398,455,0.972894549369812,6.430052447319031,0.2364378623664379
29120,6.834105,455,,,
29575,9.825688,455,,,
30030,12.445242,455,,,
30485,12.878559,455,0.9714073538780212,6.43960542678833,0.2094716126099229
30940,13.819172,455,,,
31395,14.366995,455,,,
31850,16.332776,455,,,
32305,12.434954,455,,,
32760,12.898887,455,0.9672902226448059,6.4494422495365145,0.2326533816754818
33215,14.673105,455,,,
33670,17.114885,455,,,
34125,16.09607,455,,,
34580,15.87794,455,0.9772613644599915,6.451350539922714,0.21504095010459423
35035,16.147598,455,,,
35490,17.378506,455,,,
35945,15.029339,455,,,
36400,14.487724,455,,,
36855,16.335198,455,0.9767246842384338,6.427721327543258,0.19961806982755662
37310,16.762549,455,,,
37765,15.936031,455,,,
38220,14.805886,455,,,
38675,19.808522,455,0.9746531844139099,6.413139766454696,0.18258370328694581
39130,17.181332,455,,,
39585,17.262702,455,,,
40040,18.587933,455,,,
40495,21.575519,455,,,
40950,8.177281,455,0.9769267439842224,6.418036675453186,0.19985799305140972
41405,18.345746,455,,,
41860,18.162326,455,,,
42315,18.047059,455,,,
