timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,9.224331,455,,,
910,11.572369,455,,,
1365,10.178657,455,,,
1820,10.36055,455,,,
2275,13.08928,455,,,
2730,11.603736,455,,,
3185,11.609574,455,,,
3640,11.578669,455,,,
4095,12.870537,455,0.08140808343887329,6.400191909074783,1.5484351471066475
4550,13.663124,455,,,
5005,16.375246,455,,,
5460,15.192515,455,,,
5915,12.451009,455,0.3733252286911011,6.422629201412201,1.3070803217589855
6370,13.308439,455,,,
6825,15.290534,455,,,
7280,15.966181,455,,,
7735,12.877225,455,,,
8190,12.174642,455,0.5449278354644775,6.448867231607437,1.2576513066887856
8645,10.826706,455,,,
9100,12.16483,455,,,
9555,12.993954,455,,,
10010,12.144886,455,0.7036072015762329,6.467819660902023,0.9394728757441044
10465,14.339988,455,,,
10920,13.78174,455,,,
11375,13.95278,455,,,
11830,11.818694,455,,,
12285,11.721633,455,0.8019468784332275,6.467103284597397,0.9835711173713207
12740,13.651738,455,,,
13195,15.231338,455,,,
13650,12.56608,455,,,
14105,14.568376,455,0.8472322821617126,6.483227187395096,0.8053576700389385
14560,14.486878,455,,,
15015,15.00196,455,,,
15470,11.472502,455,,,
15925,14.009909,455,,,
16380,14.00074,455,0.8979741930961609,6.510579133033753,0.6035379793494939
16835,13.098333,455,,,
17290,14.976154,455,,,
17745,14.135847,455,,,
18200,14.919854,455,0.935051679611206,6.517961704730988,0.3962203308939934
18655,14.569203,455,,,
19110,19.483291,455,,,
19565,16.099889,455,,,
20020,15.651303,455,,,
20475,19.941287,455,0.941832423210144,6.535498380661011,0.3396292693912983
20930,19.379288,455,,,
21385,15.538207,455,,,
21840,16.025761,455,,,
22295,18.305327,455,0.9579905271530151,6.549035620689392,0.2645729882642627
22750,17.132991,455,,,
23205,16.687327,455,,,
23660,15.30142,455,,,
24115,16.147354,455,,,
24570,16.303182,455,0.9591099619865417,6.548489058017731,0.2856181118637323
25025,18.377376,455,,,
25480,17.520877,455,,,
25935,12.358981,455,,,
26390,15.829151,455,0.9335716366767883,6.5421169102191925,0.39084799215197563
26845,18.647013,455,,,
27300,18.281088,455,,,
27755,20.294556,455,,,
28210,19.355977,455,,,
28665,18.809441,455,0.9629402756690979,6.538525074720383,0.24484514612704517
29120,18.425116,455,,,
29575,22.90367,455,,,
30030,20.41768,455,,,
30485,21.139651,455,0.9717300534248352,6.533750504255295,0.19772090073674917
30940,20.537786,455,,,
31395,19.418391,455,,,
31850,23.388091,455,,,
32305,20.058154,455,,,
32760,19.528974,455,0.9433223009109497,6.535049945116043,0.31667883358895776
33215,20.591841,455,,,
33670,22.786459,455,,,
34125,21.854098,455,,,
34580,20.874123,455,0.9643292427062988,6.539355385303497,0.1874370751902461
35035,21.247153,455,,,
35490,22.219107,455,,,
35945,21.313995,455,,,
36400,23.666309,455,,,
36855,22.263763,455,0.9664479494094849,6.539066559076309,0.21793730426579713
37310,19.678204,455,,,
37765,22.514399,455,,,
38220,21.032116,455,,,
38675,22.770808,455,0.9632501006126404,6.552488672733307,0.18980414904654025
39130,22.55898,455,,,
39585,23.980077,455,,,
40040,22.220517,455,,,
40495,23.51256,455,,,
40950,15.223841,455,0.9701481461524963,6.564857417345047,0.20590035244822502
41405,26.026394,455,,,
41860,24.054681,455,,,
42315,25.088721,455,,,
42770,23.958522,455,0.9379469156265259,6.566921442747116,0.2975790575146675
43225,22.389805,455,,,
43680,24.502775,455,,,
44135,27.263014,455,,,
44590,25.070577,455,,,
45045,22.366085,455,0.9751909971237183,6.57871949672699,0.15552665637806057
45500,27.231918,455,,,
45955,26.094544,455,,,
46410,25.503552,455,,,
46865,28.495258,455,0.9619329571723938,6.58445919752121,0.2429272336885333
47320,24.917046,455,,,
47775,29.23067,455,,,
48230,30.3649,455,,,
48685,30.375873,455,,,
49140,27.676963,455,0.977030336856842,6.5950878143310545,0.14599131606519222
49595,29.081176,455,,,
50050,29.929284,455,,,
50505,26.068115,455,,,
50960,30.642728,455,0.9707733988761902,6.592671632766724,0.1832513825967908
51415,30.20632,455,,,
51870,29.392841,455,,,
52325,28.211822,455,,,
52780,29.271538,455,,,
53235,30.30994,455,0.9738926291465759,6.568906891345978,0.20868597514927387
53690,29.866921,455,,,
54145,31.839798,455,,,
54600,32.161214,455,,,
55055,28.748339,455,0.9784173965454102,6.564417642354965,0.1526817956008017
55510,34.884705,455,,,
55965,32.298041,455,,,
56420,19.270763,455,,,
56875,27.697337,455,,,
