timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,0.402198,455,,,
910,-1.525721,455,,,
1365,-3.598345,455,,,
1820,-2.974189,455,,,
2275,-2.550019,455,,,
2730,-0.218441,455,,,
3185,-1.439418,455,,,
3640,-1.302964,455,,,
4095,-2.635385,455,0.024410128593444824,6.392117732763291,0.5667213343083859
4550,1.401385,455,,,
5005,-0.75164,455,,,
5460,-0.242923,455,,,
5915,-1.412386,455,0.5643742680549622,6.374237310886383,0.517051363736391
6370,0.145495,455,,,
6825,1.353179,455,,,
7280,0.005588,455,,,
7735,2.777218,455,,,
8190,-3.242927,455,0.7877839803695679,6.333248662948608,0.4051505602896214
8645,-1.162695,455,,,
9100,1.970118,455,,,
9555,-2.096438,455,,,
10010,2.822087,455,0.8777366876602173,6.3121388256549835,0.41612160243093965
10465,1.116231,455,,,
10920,2.260386,455,,,
11375,-0.72914,455,,,
11830,-0.416957,455,,,
12285,1.494602,455,0.9151061177253723,6.32708620429039,0.3216938966885209
12740,0.503167,455,,,
13195,3.558722,455,,,
13650,1.499512,455,,,
14105,0.779071,455,0.9182021617889404,6.347592598199844,0.38845153227448465
14560,5.064501,455,,,
15015,3.691681,455,,,
15470,1.492386,455,,,
15925,1.850501,455,,,
16380,1.902991,455,0.9462398886680603,6.351370710134506,0.24842285122722388
16835,6.725556,455,,,
17290,4.640295,455,,,
17745,6.896093,455,,,
18200,-0.019064,455,0.953187882900238,6.334636789560318,0.22931382823735474
18655,3.463293,455,,,
19110,7.298321,455,,,
19565,6.974889,455,,,
20020,6.027969,455,,,
20475,9.57934,455,0.9538385272026062,6.330783313512802,0.2227489860728383
20930,8.318241,455,,,
21385,5.484214,455,,,
21840,7.566578,455,,,
22295,4.491342,455,0.9579096436500549,6.334874475002289,0.2002027615904808
22750,8.549637,455,,,
23205,8.654838,455,,,
23660,3.942305,455,,,
24115,8.743872,455,,,
24570,5.626786,455,0.9537085294723511,6.330089277029037,0.21493045911192893
25025,8.1914,455,,,
25480,10.60738,455,,,
25935,8.31544,455,,,
26390,9.765442,455,0.940413773059845,6.338451153039932,0.2528501830995083
26845,8.051587,455,,,
27300,9.800183,455,,,
27755,12.244594,455,,,
28210,9.654957,455,,,
28665,11.587618,455,0.9593664407730103,6.357436227798462,0.1929751144722104
29120,-0.12786,455,,,
29575,10.334683,455,,,
30030,10.302589,455,,,
30485,12.710182,455,0.955646276473999,6.371592968702316,0.18798754923045635
30940,12.335715,455,,,
31395,14.261903,455,,,
31850,11.675504,455,,,
32305,11.43003,455,,,
32760,15.727436,455,0.9323529601097107,6.384344148635864,0.21550953201949596
33215,12.215615,455,,,
33670,13.240715,455,,,
34125,16.243348,455,,,
34580,15.41119,455,0.952926754951477,6.402417600154877,0.18189683221280575
35035,10.446544,455,,,
35490,18.243338,455,,,
35945,14.493996,455,,,
36400,16.359781,455,,,
36855,15.093529,455,0.9565243124961853,6.429117208719253,0.17933336831629276
37310,15.558183,455,,,
37765,15.155034,455,,,
38220,17.598539,455,,,
38675,14.454489,455,0.9573789834976196,6.425374120473862,0.16981761995702982
39130,16.369012,455,,,
39585,14.801159,455,,,
40040,16.943457,455,,,
40495,17.601801,455,,,
40950,1.398201,455,0.9578638672828674,6.414217990636826,0.16380201578140258
41405,17.685303,455,,,
41860,14.647218,455,,,
42315,15.098416,455,,,
42770,18.604113,455,0.9438161253929138,6.401948463916779,0.18723235744982958
43225,13.554786,455,,,
43680,15.808988,455,,,
44135,18.118979,455,,,
44590,17.531589,455,,,
45045,13.4955,455,0.9634015560150146,6.396041768789291,0.15584520669654012
45500,18.201416,455,,,
45955,17.570234,455,,,
46410,16.435645,455,,,
46865,19.183302,455,0.9580219388008118,6.397682237625122,0.15939231719821692
47320,15.755821,455,,,
47775,18.794339,455,,,
48230,20.720927,455,,,
48685,19.829509,455,,,
49140,20.544792,455,0.9595652222633362,6.395926928520202,0.1604014180600643
49595,18.935629,455,,,
50050,20.254661,455,,,
50505,19.759471,455,,,
50960,19.820484,455,0.9642155170440674,6.389893740415573,0.1518703100271523
51415,23.069441,455,,,
51870,24.070908,455,,,
52325,23.20247,455,,,
52780,18.835269,455,,,
