timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,74.834146,455,,,
910,76.081818,455,,,
1365,77.632413,455,,,
1820,75.658886,455,,,
2275,76.616093,455,,,
2730,75.623152,455,,,
3185,67.548643,455,,,
3640,75.524851,455,,,
4095,78.219123,455,0.02633523941040039,6.393836641311646,8.445025300979614
4550,74.59373,455,,,
5005,75.466526,455,,,
5460,77.359953,455,,,
5915,79.094867,455,0.3987293243408203,6.407366555929184,8.626363754272461
6370,74.345632,455,,,
6825,73.55118,455,,,
7280,75.360236,455,,,
7735,76.084665,455,,,
8190,74.286732,455,0.7115542888641357,6.413887643814087,6.69327198266983
8645,72.871461,455,,,
9100,74.862192,455,,,
9555,75.289878,455,,,
10010,75.480025,455,0.8238512277603149,6.392497318983078,6.301893621683121
10465,72.572842,455,,,
10920,73.461502,455,,,
11375,76.590141,455,,,
11830,74.756674,455,,,
12285,73.655014,455,0.883991539478302,6.383135449886322,5.018573215603828
12740,77.434828,455,,,
13195,75.359533,455,,,
13650,76.857646,455,,,
14105,75.14454,455,0.8875802755355835,6.401715934276581,5.3136916875839235
14560,75.28415,455,,,
15015,78.781107,455,,,
15470,77.423398,455,,,
15925,73.997624,455,,,
16380,74.826786,455,0.9343655109405518,6.401293843984604,3.928530639410019
16835,79.542445,455,,,
17290,77.180867,455,,,
17745,75.90867,455,,,
18200,78.625094,455,0.9495986700057983,6.404814368486404,3.722187139093876
18655,73.304874,455,,,
19110,78.005488,455,,,
19565,78.557992,455,,,
20020,77.185755,455,,,
20475,79.667915,455,0.9625749588012695,6.438768231868744,2.863758273422718
20930,74.428217,455,,,
21385,80.223531,455,,,
21840,77.853349,455,,,
22295,76.933856,455,0.9621424078941345,6.466613233089447,2.965654145181179
22750,73.421379,455,,,
23205,78.860015,455,,,
23660,79.900355,455,,,
24115,77.487867,455,,,
24570,78.612736,455,0.9677144289016724,6.473081564903259,2.6980500280857087
25025,79.530006,455,,,
25480,76.493572,455,,,
25935,71.389296,455,,,
26390,76.111325,455,0.9673996567726135,6.451286798715591,2.5859484359622003
26845,79.739012,455,,,
27300,81.989932,455,,,
27755,78.063779,455,,,
28210,77.935833,455,,,
28665,77.845277,455,0.976890504360199,6.439138412475586,1.9599580839276314
29120,77.954555,455,,,
29575,78.569204,455,,,
30030,79.569426,455,,,
30485,79.138748,455,0.9826791882514954,6.436238038539886,1.745608988404274
30940,81.165783,455,,,
31395,79.506767,455,,,
31850,83.49003,455,,,
32305,73.526449,455,,,
32760,82.029036,455,0.9805765748023987,6.444952696561813,1.6407353095710278
33215,81.717909,455,,,
33670,82.810296,455,,,
34125,81.900069,455,,,
34580,81.126651,455,0.983146071434021,6.457128727436066,1.6908768579363822
35035,68.81581,455,,,
35490,83.524856,455,,,
35945,82.307388,455,,,
36400,79.313235,455,,,
36855,78.187747,455,0.9872190952301025,6.456450021266937,1.3380864322185517
37310,83.54997,455,,,
37765,81.786842,455,,,
38220,78.543451,455,,,
38675,83.570126,455,0.981698751449585,6.443397051095962,1.7888469487428664
39130,77.891009,455,,,
39585,84.646294,455,,,
40040,80.547743,455,,,
40495,81.551775,455,,,
40950,79.253863,455,0.9881287217140198,6.437397235631943,1.1598600529134273
41405,80.430289,455,,,
41860,82.645102,455,,,
42315,81.846097,455,,,
42770,80.548576,455,0.9867959022521973,6.4438829064369205,1.2004452884197234
43225,82.227833,455,,,
43680,82.352597,455,,,
44135,81.745132,455,,,
44590,85.531227,455,,,
45045,76.526511,455,0.9919506907463074,6.45262970328331,0.9492860034108161
45500,84.503696,455,,,
45955,82.549433,455,,,
46410,82.276564,455,,,
46865,82.731729,455,0.9894887804985046,6.469612544775009,1.097308475524187
47320,84.003051,455,,,
47775,80.283201,455,,,
48230,84.926192,455,,,
