timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-57.882193,455,,,
910,-58.048685,455,,,
1365,-51.959021,455,,,
1820,-55.597638,455,,,
2275,-56.559731,455,,,
2730,-53.85203,455,,,
3185,-52.239781,455,,,
3640,-55.538471,455,,,
4095,-52.895197,455,-0.0007214546203613281,6.394861227273941,4.4943236976861956
4550,-54.020577,455,,,
5005,-55.545537,455,,,
5460,-55.650402,455,,,
5915,-54.191049,455,0.48536568880081177,6.389465028047562,3.2938731133937837
6370,-52.05694,455,,,
6825,-53.165028,455,,,
7280,-51.313619,455,,,
7735,-53.383079,455,,,
8190,-53.572429,455,0.7002679109573364,6.386314517259597,3.1346888452768327
8645,-51.900024,455,,,
9100,-55.622746,455,,,
9555,-55.885782,455,,,
10010,-50.508629,455,0.8494900465011597,6.397166466712951,2.333997146785259
10465,-52.826495,455,,,
10920,-51.310663,455,,,
11375,-53.229053,455,,,
11830,-52.954451,455,,,
12285,-55.118506,455,0.8920800089836121,6.399172729253769,2.1199999317526816
12740,-53.416603,455,,,
13195,-54.715995,455,,,
13650,-52.516144,455,,,
14105,-55.361234,455,0.923617959022522,6.4032540082931515,1.7809548303484917
14560,-52.255004,455,,,
15015,-54.127223,455,,,
15470,-51.177613,455,,,
15925,-51.909111,455,,,
16380,-52.282315,455,0.9482831358909607,6.405977123975754,1.514209694415331
16835,-52.152796,455,,,
17290,-50.756812,455,,,
17745,-51.07626,455,,,
18200,-52.312062,455,0.9659709930419922,6.435049772262573,1.090935280919075
18655,-52.397442,455,,,
19110,-51.854856,455,,,
19565,-48.230994,455,,,
20020,-49.459009,455,,,
20475,-50.073394,455,0.9680886268615723,6.487478518486023,1.0265928320586681
20930,-48.610002,455,,,
21385,-50.231936,455,,,
21840,-51.394069,455,,,
22295,-51.635397,455,0.9820293188095093,6.528559750318527,0.5785326741635799
22750,-49.688893,455,,,
23205,-50.066734,455,,,
23660,-51.851364,455,,,
24115,-48.271857,455,,,
24570,-50.382463,455,0.9854246377944946,6.552796351909637,0.5182426307350397
25025,-52.159846,455,,,
25480,-48.205198,455,,,
25935,-53.162511,455,,,
26390,-48.676357,455,0.9830572009086609,6.575237661600113,0.5455345928668975
26845,-49.515097,455,,,
27300,-48.81699,455,,,
27755,-47.905433,455,,,
28210,-47.647112,455,,,
28665,-46.489042,455,0.9919734597206116,6.604805916547775,0.3239037498831749
29120,-45.971084,455,,,
29575,-50.080361,455,,,
30030,-48.895189,455,,,
30485,-45.066953,455,0.9936619997024536,6.633378350734711,0.2670615628361702
30940,-47.370987,455,,,
31395,-49.543796,455,,,
31850,-47.510033,455,,,
32305,-46.515005,455,,,
32760,-46.351768,455,0.991105318069458,6.671354341506958,0.3295251062139869
33215,-44.854894,455,,,
33670,-44.766495,455,,,
34125,-45.936636,455,,,
34580,-46.170418,455,0.9951388835906982,6.714963221549988,0.25643951874226334
35035,-43.168525,455,,,
35490,-43.72451,455,,,
35945,-44.538526,455,,,
36400,-42.867384,455,,,
36855,-42.559196,455,0.9955949187278748,6.748750245571136,0.19197514187544584
37310,-47.296253,455,,,
37765,-44.899481,455,,,
38220,-47.554571,455,,,
38675,-44.18166,455,0.9967836737632751,6.774079698324203,0.1722779594361782
39130,-42.118808,455,,,
39585,-44.895864,455,,,
40040,-44.639157,455,,,
40495,-45.858839,455,,,
40950,-48.523281,455,0.9968178868293762,6.811807841062546,0.1952254842966795
41405,-42.212228,455,,,
41860,-42.994867,455,,,
42315,-42.04596,455,,,
42770,-42.752165,455,0.9944814443588257,6.847975045442581,0.23262938149273396
43225,-43.461667,455,,,
43680,-47.17339,455,,,
44135,-41.043129,455,,,
44590,-40.047173,455,,,
45045,-40.213518,455,0.9970253705978394,6.881652820110321,0.17579617351293564
45500,-41.513959,455,,,
45955,-43.169412,455,,,
46410,-40.435379,455,,,
46865,-41.496499,455,0.9968693256378174,6.935824018716812,0.1523273062892258
47320,-41.464449,455,,,
47775,-40.423958,455,,,
48230,-37.603633,455,,,
48685,-41.406565,455,,,
49140,-38.75455,455,0.9973641037940979,6.995393973588944,0.17515125749632715
49595,-37.532846,455,,,
50050,-38.866815,455,,,
50505,-37.842134,455,,,
50960,-38.779658,455,0.9973029494285583,7.0366627156734465,0.17519193161278962
51415,-38.051545,455,,,
51870,-34.886536,455,,,
52325,-37.203208,455,,,
52780,-36.466508,455,,,
53235,-35.92221,455,0.9966705441474915,7.0833955347538,0.14916726471856237
53690,-34.647878,455,,,
54145,-36.912081,455,,,
54600,-35.334347,455,,,
55055,-39.629155,455,0.9969744682312012,7.128333193063736,0.12831117454916238
55510,-37.178114,455,,,
55965,-37.398627,455,,,
56420,-45.362324,455,,,
56875,-34.901903,455,,,
57330,-36.367966,455,0.9979193210601807,7.176407486200333,0.15396750820800661
57785,-32.586283,455,,,
58240,-34.599739,455,,,
58695,-34.756447,455,,,
59150,-34.877788,455,0.9818195700645447,7.217173951864242,0.5806071024388075
59605,-31.631857,455,,,
60060,-34.59307,455,,,
60515,-31.669413,455,,,
60970,-43.799423,455,,,
61425,-34.061884,455,0.9976813197135925,7.281133234500885,0.12628020346164703
61880,-33.010301,455,,,
62335,-32.189025,455,,,
62790,-34.487298,455,,,
63245,-32.032286,455,0.9855096340179443,7.333694952726364,0.4913076039403677
63700,-30.89625,455,,,
64155,-28.366987,455,,,
64610,-31.936623,455,,,
65065,-29.635791,455,,,
65520,-32.359478,455,0.9973061084747314,7.378412014245987,0.11585054444149137
65975,-31.32438,455,,,
66430,-30.380819,455,,,
66885,-29.991837,455,,,
67340,-29.706473,455,0.9969830513000488,7.438457959890366,0.12943698335438966
67795,-45.442464,455,,,
68250,-29.584813,455,,,
68705,-27.467095,455,,,
69160,-29.569811,455,,,
69615,-30.471817,455,0.9948079586029053,7.487650716304779,0.22542651351541282
70070,-30.609552,455,,,
70525,-30.880107,455,,,
70980,-28.526036,455,,,
71435,-32.16138,455,0.9929230809211731,7.535118746757507,0.22159136943519114
71890,-29.802023,455,,,
72345,-27.016561,455,,,
72800,-28.633301,455,,,
73255,-25.639561,455,,,
73710,-25.743865,455,0.9978316426277161,7.587746369838714,0.12067160559818149
74165,-27.741927,455,,,
74620,-24.910458,455,,,
75075,-27.205669,455,,,
75530,-25.645241,455,0.9975048303604126,7.662135285139084,0.1202992646023631
75985,-27.160131,455,,,
76440,-26.938741,455,,,
76895,-24.437987,455,,,
77350,-24.261295,455,,,
77805,-25.645047,455,0.997444212436676,7.745611089468002,0.12023259010165929
78260,-21.034445,455,,,
78715,-24.10678,455,,,
79170,-24.218608,455,,,
79625,-23.640293,455,0.9972192049026489,7.805073946714401,0.18609894216060638
80080,-21.32869,455,,,
80535,-42.472268,455,,,
80990,-21.770471,455,,,
81445,-23.088037,455,,,
81900,-21.875996,455,0.9977021813392639,7.872900021076203,0.13656984167173505
82355,-19.969194,455,,,
82810,-21.702309,455,,,
83265,-21.050757,455,,,
83720,-19.340988,455,0.9919807314872742,7.908362156152725,0.31090467534959315
84175,-23.282708,455,,,
84630,-20.87611,455,,,
85085,-20.675864,455,,,
85540,-19.492538,455,,,
85995,-22.677234,455,0.9968523979187012,7.952714496850968,0.1373158611357212
86450,-18.743166,455,,,
86905,-20.42292,455,,,
87360,-19.281026,455,,,
87815,-20.708692,455,0.9969784021377563,8.008016562461853,0.11959309848025441
88270,-18.001124,455,,,
88725,-19.436016,455,,,
89180,-19.075821,455,,,
89635,-18.199628,455,,,
90090,-16.022549,455,0.9964318871498108,8.06012796163559,0.14031279888004064
90545,-30.275064,455,,,
91000,-18.132903,455,,,
91455,-19.418684,455,,,
91910,-16.392988,455,0.9957312941551208,8.107607173919678,0.19714309507980943
92365,-19.167242,455,,,
92820,-20.534901,455,,,
93275,-12.915339,455,,,
93730,-14.917791,455,,,
94185,-15.468948,455,0.98430335521698,8.126730513572692,0.35602969378232957
94640,-15.290141,455,,,
95095,-16.485573,455,,,
95550,-17.525595,455,,,
96005,-15.332358,455,0.9961706399917603,8.144730627536774,0.15899775410071015
96460,-17.926389,455,,,
96915,-14.442274,455,,,
97370,-14.677036,455,,,
97825,-13.5617,455,,,
98280,-13.8102,455,0.9966382384300232,8.194685614109039,0.12914885273203253
98735,-13.861652,455,,,
99190,-13.900611,455,,,
99645,-9.26622,455,,,
100100,-10.546179,455,0.9952979683876038,8.25215300321579,0.18205114342272283
100555,-35.195898,455,,,
101010,-11.855787,455,,,
101465,-11.132166,455,,,
101920,-10.723696,455,,,
102375,-13.18343,455,0.9943057894706726,8.30440286397934,0.31540630143135784
102830,-11.942663,455,,,
103285,-10.65411,455,,,
103740,-8.619515,455,,,
104195,-9.784085,455,0.9886497259140015,8.348689889907837,0.2353046340867877
104650,-9.252643,455,,,
105105,-7.66339,455,,,
105560,-7.618948,455,,,
106015,-12.358066,455,,,
