timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-26.423721,455,,,
910,-27.205583,455,,,
1365,-22.914019,455,,,
1820,-24.875004,455,,,
2275,-26.018505,455,,,
2730,-26.468502,455,,,
3185,-35.833676,455,,,
3640,-26.727508,455,,,
4095,-25.884295,455,-0.035801053047180176,6.418107068538665,7.488719043135643
4550,-25.641404,455,,,
5005,-26.619117,455,,,
5460,-25.445165,455,,,
5915,-24.268904,455,0.6527206897735596,6.444699358940125,4.707449066638946
6370,-29.039591,455,,,
6825,-26.681013,455,,,
7280,-24.479975,455,,,
7735,-25.438073,455,,,
8190,-29.897085,455,0.8324559330940247,6.4469229221344,4.157577958703041
8645,-29.357304,455,,,
9100,-26.504544,455,,,
9555,-24.418125,455,,,
10010,-24.094003,455,0.9065786004066467,6.460454475879669,3.8187603443861007
10465,-28.068996,455,,,
10920,-22.307395,455,,,
11375,-23.538118,455,,,
11830,-25.449983,455,,,
12285,-30.451992,455,0.9278227090835571,6.473716908693314,3.5378573179244994
12740,-27.671022,455,,,
13195,-27.250851,455,,,
13650,-25.700731,455,,,
14105,-25.30707,455,0.9373993873596191,6.474033564329147,3.402093631029129
14560,-26.412471,455,,,
15015,-25.191328,455,,,
15470,-25.221849,455,,,
15925,-27.783499,455,,,
16380,-26.870938,455,0.9614095091819763,6.488650840520859,2.61290328502655
16835,-22.656649,455,,,
17290,-26.6502,455,,,
17745,-24.453827,455,,,
18200,-23.806433,455,0.9751588106155396,6.515280252695083,1.8497354701161384
18655,-26.653196,455,,,
19110,-24.419855,455,,,
19565,-24.223771,455,,,
20020,-25.108277,455,,,
20475,-24.202065,455,0.9791712760925293,6.533405005931854,1.6122417956590653
20930,-23.979238,455,,,
21385,-21.102481,455,,,
21840,-20.829116,455,,,
22295,-29.092281,455,0.9867053031921387,6.552195173501969,1.0771874837577342
22750,-28.557881,455,,,
23205,-22.742742,455,,,
23660,-20.357235,455,,,
24115,-22.545377,455,,,
24570,-25.090516,455,0.9891951680183411,6.585490661859512,0.9837420277297497
25025,-25.979242,455,,,
25480,-24.985733,455,,,
25935,-30.92981,455,,,
26390,-24.975244,455,0.9838699698448181,6.611266678571701,1.0135931506752969
26845,-23.598819,455,,,
27300,-22.099729,455,,,
27755,-26.65991,455,,,
28210,-24.390295,455,,,
28665,-21.367984,455,0.9912393093109131,6.614965146780014,0.9517053462564945
29120,-21.128446,455,,,
29575,-20.483427,455,,,
30030,-26.342391,455,,,
30485,-21.106383,455,0.9946370720863342,6.640199506282807,0.5685624126344919
30940,-22.177207,455,,,
31395,-23.982788,455,,,
31850,-23.0694,455,,,
32305,-29.302397,455,,,
32760,-22.211624,455,0.9896725416183472,6.6654686510562895,0.6852349758148193
33215,-22.63196,455,,,
33670,-22.745233,455,,,
34125,-22.047774,455,,,
34580,-23.39386,455,0.9947657585144043,6.674336689710617,0.6233007859438657
35035,-31.008135,455,,,
35490,-21.030364,455,,,
35945,-19.892486,455,,,
36400,-23.034351,455,,,
36855,-24.66632,455,0.9958123564720154,6.69049910902977,0.42557397931814195
37310,-22.793378,455,,,
37765,-21.924246,455,,,
38220,-22.975633,455,,,
38675,-22.028105,455,0.9931955337524414,6.7100921988487245,0.7495553370565176
39130,-25.303927,455,,,
39585,-22.46632,455,,,
40040,-25.891175,455,,,
40495,-19.429549,455,,,
40950,-21.616566,455,0.9966878890991211,6.721749126911163,0.3966210322454572
41405,-20.760164,455,,,
41860,-23.236533,455,,,
42315,-18.01554,455,,,
42770,-20.964391,455,0.9918671250343323,6.7326575756073,0.5541625399142504
43225,-19.848822,455,,,
43680,-25.659678,455,,,
44135,-18.947931,455,,,
44590,-17.985714,455,,,
45045,-24.277297,455,0.997475802898407,6.7489610612392426,0.2926976228132844
45500,-19.159722,455,,,
45955,-19.266614,455,,,
46410,-18.132891,455,,,
46865,-18.882639,455,0.9961236715316772,6.7665468633174894,0.44545049145817756
47320,-19.229639,455,,,
47775,-20.180047,455,,,
48230,-16.125774,455,,,
48685,-29.928228,455,,,
49140,-19.383659,455,0.9976508021354675,6.789022123813629,0.2660336570814252
49595,-23.983456,455,,,
50050,-19.583485,455,,,
50505,-19.519633,455,,,
50960,-19.205757,455,0.994550347328186,6.81616752743721,0.647711806371808
51415,-15.197429,455,,,
51870,-21.826552,455,,,
52325,-16.897776,455,,,
52780,-16.587936,455,,,
53235,-18.011962,455,0.9968522191047668,6.8407952904701235,0.33778258636593816
53690,-16.533177,455,,,
54145,-15.947059,455,,,
54600,-16.791392,455,,,
55055,-16.749792,455,0.9973782896995544,6.859247702360153,0.27729345895349977
55510,-15.128554,455,,,
55965,-17.830776,455,,,
56420,-21.564752,455,,,
56875,-16.816357,455,,,
57330,-17.021417,455,0.9978587031364441,6.875708329677582,0.22830673232674598
57785,-11.866033,455,,,
58240,-20.487802,455,,,
58695,-17.343457,455,,,
59150,-14.316311,455,0.9819757342338562,6.898010575771332,0.8942646939307451
59605,-11.578047,455,,,
60060,-19.308769,455,,,
60515,-12.038453,455,,,
60970,-22.587233,455,,,
61425,-14.63961,455,0.9978634119033813,6.931683439016342,0.25675527900457384
61880,-13.452897,455,,,
62335,-12.414185,455,,,
62790,-22.627883,455,,,
63245,-13.467753,455,0.9849538207054138,6.961863803863525,0.8648403752595186
63700,-13.020058,455,,,
64155,-9.717423,455,,,
64610,-11.433823,455,,,
65065,-10.891345,455,,,
65520,-13.10822,455,0.9961375594139099,6.982831859588623,0.3938825046643615
65975,-11.78544,455,,,
66430,-16.960839,455,,,
66885,-11.638352,455,,,
67340,-14.412175,455,0.9978758692741394,7.006970334053039,0.21169725842773915
67795,-21.870256,455,,,
68250,-9.962506,455,,,
68705,-9.069854,455,,,
69160,-8.694471,455,,,
69615,-12.153875,455,0.995460569858551,7.033395475149154,0.4939644917845726
70070,-10.33567,455,,,
70525,-15.002509,455,,,
70980,-11.42017,455,,,
